line_id,lat,lng,title,color,description
tea-horse-road,25.04,102.71,"LAYER 1 — Historical Trade: Tea Horse Road (Yunnan → Tibet)",#8B4513,"Kunming Yunnan — start of the 1,400-mile overland caravan route from the 7th century. Compressed tea bricks were the only form that could survive months on yak caravans."
tea-horse-road,29.65,91.14,"LAYER 1 — Historical Trade: Tea Horse Road (Yunnan → Tibet)",#8B4513,"Lhasa Tibet — caravans took 3–6 months to cross passes reaching 16,000 ft. Tea became essential nutrition for Tibetan highland diet."
tea-maritime-silk-road,26.08,119.30,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"Fuzhou Fujian — source of the 'té' word-path. Maritime traders from coastal China used the Min word 'té' which spread by ship."
tea-maritime-silk-road,22.54,114.06,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"Canton (Guangzhou) — sole port Europeans could trade through under the Qing Canton System until 1842."
tea-maritime-silk-road,3.14,101.69,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"Malacca Strait — chokepoint for all European tea-bound shipping."
tea-maritime-silk-road,6.93,79.86,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"Colombo Ceylon — Dutch then British port hub."
tea-maritime-silk-road,52.37,4.90,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"Amsterdam — Dutch East India Company first imports tea to Europe in 1610."
tea-maritime-silk-road,51.51,-0.13,"LAYER 1 — Historical Trade: Maritime Silk Road (Fujian → Europe)",#8B4513,"London — by 1750 tea taxes fund 10–15% of British state revenue (Rappaport 2017)."
tea-trans-siberian,22.54,114.06,"LAYER 1 — Historical Trade: Trans-Siberian tea caravans",#8B4513,"Canton — starting point for 6,000-mile overland caravan."
tea-trans-siberian,47.92,106.92,"LAYER 1 — Historical Trade: Trans-Siberian tea caravans",#8B4513,"Ulaanbaatar — Mongolian steppe crossing."
tea-trans-siberian,52.30,104.28,"LAYER 1 — Historical Trade: Trans-Siberian tea caravans",#8B4513,"Irkutsk — Siberian staging post, 16-month caravan total."
tea-trans-siberian,55.76,37.62,"LAYER 1 — Historical Trade: Trans-Siberian tea caravans",#8B4513,"Moscow — arrival. Russian 'chai' derives from overland Mandarin 'cha'."
tea-british-imperial,22.54,114.06,"LAYER 1 — Historical Trade: British imperial shift (China → India)",#8B4513,"Canton — pre-1842 chokehold and the lead-up to the Opium Wars."
tea-british-imperial,51.51,-0.13,"LAYER 1 — Historical Trade: British imperial shift (China → India)",#8B4513,"London — after losing Chinese monopoly pricing, Britain plants its own supply in India."
tea-british-imperial,26.14,91.74,"LAYER 1 — Historical Trade: British imperial shift (China → India)",#8B4513,"Assam India — massive plantations with indentured labour from tribal communities in central India (Sharma 2011)."
tea-british-imperial,27.04,88.26,"LAYER 1 — Historical Trade: British imperial shift (China → India)",#8B4513,"Darjeeling India — high-altitude Himalayan foothill plantations produce muscatel flavor at 6,000 ft."
tea-british-imperial,6.93,79.86,"LAYER 1 — Historical Trade: British imperial shift (China → India)",#8B4513,"Ceylon (Sri Lanka) — British convert coffee plantations to tea after 1869 coffee-rust epidemic."
tea-word-cha,35.86,104.20,"LAYER 2 — Language Diffusion: 'cha' path (overland)",#7B1FA2,"Mandarin 'chá' — overland routes via Silk Road carry this word."
tea-word-cha,47.92,106.92,"LAYER 2 — Language Diffusion: 'cha' path (overland)",#7B1FA2,"Mongolia — 'tsai'."
tea-word-cha,55.76,37.62,"LAYER 2 — Language Diffusion: 'cha' path (overland)",#7B1FA2,"Russia — 'chai'."
tea-word-cha,28.61,77.20,"LAYER 2 — Language Diffusion: 'cha' path (overland)",#7B1FA2,"Hindi/Urdu — 'chai'. Overland via Silk Road through Central Asia."
tea-word-cha,35.69,51.39,"LAYER 2 — Language Diffusion: 'cha' path (overland)",#7B1FA2,"Persia — 'chay'. Overland trade into Arabic and Turkish."
tea-word-te,26.08,119.30,"LAYER 2 — Language Diffusion: 'te' path (maritime)",#7B1FA2,"Min-Chinese (Fujian coast) 'té' — the sea traders' word."
tea-word-te,52.37,4.90,"LAYER 2 — Language Diffusion: 'te' path (maritime)",#7B1FA2,"Dutch — 'thee'. Picked up from Fujianese sailors."
tea-word-te,51.51,-0.13,"LAYER 2 — Language Diffusion: 'te' path (maritime)",#7B1FA2,"English — 'tea'."
tea-word-te,48.86,2.35,"LAYER 2 — Language Diffusion: 'te' path (maritime)",#7B1FA2,"French — 'thé'. Maritime trade path imports the Min word."
tea-modern-supply,35.86,104.20,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"China — 46% of world production; still origin + largest producer."
tea-modern-supply,20.59,78.96,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"India — 23% of world production. Assam + Darjeeling + Nilgiris."
tea-modern-supply,-0.02,37.91,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Kenya — 8% of world production, world's largest tea exporter by volume."
tea-modern-supply,7.87,80.77,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Sri Lanka — 6% of world production."
tea-modern-supply,51.51,-0.13,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"London — historical center of wholesale tea auctions."
tea-modern-supply,40.71,-74.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"New York — modern specialty tea import hub."
