line_id,lat,lng,title,color,description
sake-ancient-origin,37.95,138.35,"LAYER 1 — Historical Trade: Ancient Japanese rice fermentation",#8B4513,"Niigata coast — kuchikamizake (chewed-rice sake) archaeological evidence from Yayoi period ~300 BCE."
sake-ancient-origin,35.01,135.68,"LAYER 1 — Historical Trade: Ancient Japanese rice fermentation",#8B4513,"Kyoto — imperial court sake brewing; Engi-shiki (927 CE) documents official sake production system."
sake-medieval-codification,34.69,135.50,"LAYER 1 — Historical Trade: Medieval temple + commercial brewing",#8B4513,"Osaka / Nara — Buddhist temple breweries perfect the Bodai-moto method 12th–15th century."
sake-medieval-codification,34.69,135.20,"LAYER 1 — Historical Trade: Medieval temple + commercial brewing",#8B4513,"Nada (Kobe region, Hyogo) — becomes Japan's largest sake-producing region by Edo period thanks to Miyamizu hard water."
sake-edo-trade,35.68,139.77,"LAYER 1 — Historical Trade: Edo-period Taru Kaisen shipping",#8B4513,"Edo (Tokyo) — Taru Kaisen wooden sake-barrel ships run the Nada-to-Edo route from 1619 onward."
sake-edo-trade,34.69,135.20,"LAYER 1 — Historical Trade: Edo-period Taru Kaisen shipping",#8B4513,"Nada (Hyogo) — departure port. Osaka Bay winds + currents enable 5-day voyage."
sake-global-export,37.77,-122.42,"LAYER 1 — Historical Trade: Post-WWII global spread",#8B4513,"San Francisco — 19th-century Japanese immigration brings sake to the US West Coast. Modern craft breweries run by non-Japanese brewers now."
sake-global-export,40.71,-74.00,"LAYER 1 — Historical Trade: Post-WWII global spread",#8B4513,"New York — premium-sake import market boom 2010s."
sake-global-export,51.51,-0.13,"LAYER 1 — Historical Trade: Post-WWII global spread",#8B4513,"London — UK sake market grew 200%+ in the last decade."
sake-word-diffusion,35.68,139.77,"LAYER 2 — Language Diffusion: Japanese names",#7B1FA2,"Japanese — 'sake' (酒) is the general Japanese word for alcohol; 'nihonshu' (日本酒) = 'Japanese alcohol' is the specific term."
sake-word-diffusion,37.95,138.35,"LAYER 2 — Language Diffusion: Japanese names",#7B1FA2,"Niigata dialect — regional sake-style names like 'tanrei-karakuchi' (light-dry)."
sake-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: Japanese names",#7B1FA2,"English — 'sake' (borrowed unchanged). 'Saké' sometimes written with accent but rare in Japanese rōmaji."
sake-modern-supply,37.95,138.35,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Niigata — #1 sake-producing prefecture by volume + premium reputation."
sake-modern-supply,34.69,135.20,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Hyogo (Nada district) — #2 prefecture, historical anchor."
sake-modern-supply,35.01,135.68,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Kyoto (Fushimi district) — #3 prefecture, softer-water style."
sake-modern-supply,40.71,-74.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"NYC — #1 US premium sake market."
