polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders + Mexican state borders. They do NOT represent pre-colonial Zapotec, Mixtec, Nahua, or Huichol territories — those Indigenous sovereignties pre-date modern borders by millennia."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
jalisco-tequila-do,21.5,-105,"Jalisco state (modern borders) — Tequila DO",#185FA5,#185FA533,"Modern political border. The Tequila Denominación de Origen (1974) covers Jalisco + specific municipalities in Nayarit, Michoacán, Guanajuato, Tamaulipas. Only blue agave (Agave tequilana Weber var. azul) grown in DO zones can be called 'tequila'."
jalisco-tequila-do,21.5,-101,"Jalisco state (modern borders) — Tequila DO",#185FA5,#185FA533,""
jalisco-tequila-do,19,-101,"Jalisco state (modern borders) — Tequila DO",#185FA5,#185FA533,""
jalisco-tequila-do,19,-105,"Jalisco state (modern borders) — Tequila DO",#185FA5,#185FA533,""
oaxaca-mezcal-do,18,-99,"Oaxaca + mezcal DO states (modern borders)",#2E7D32,#2E7D3233,"Modern political borders. Mezcal DO (1994) covers Oaxaca + 8 other states: Durango, Guanajuato, Guerrero, Michoacán, Puebla, San Luis Potosí, Tamaulipas, Zacatecas. Zapotec + Mixtec indigenous producers maintain traditional methods."
oaxaca-mezcal-do,18,-94,"Oaxaca + mezcal DO states (modern borders)",#2E7D32,#2E7D3233,""
oaxaca-mezcal-do,15,-94,"Oaxaca + mezcal DO states (modern borders)",#2E7D32,#2E7D3233,""
oaxaca-mezcal-do,15,-97,"Oaxaca + mezcal DO states (modern borders)",#2E7D32,#2E7D3233,""
oaxaca-mezcal-do,16,-99,"Oaxaca + mezcal DO states (modern borders)",#2E7D32,#2E7D3233,""
mexico-broader,32,-117,"Mexico (modern borders) — full national context",#BA7517,#BA751733,"Modern political border (post-1917 Constitution). Mexico's full territory — DO regions are specific but cultural tradition of agave distillation spans many states and indigenous nations."
mexico-broader,32,-106,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,28,-97,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,17,-88,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,15,-92,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,16,-96,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,20,-105,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
mexico-broader,23,-109,"Mexico (modern borders) — full national context",#BA7517,#BA751733,""
usa-tequila-market,49,-125,"USA (modern borders) — world's #1 tequila market (75% of exports)",#2E7D32,#2E7D3233,"Modern political border. 75% of all Mexican tequila exports go to the US. California, Texas, and Florida lead consumption. Premium tequila is the fastest-growing spirits category in the US 2018–2024."
usa-tequila-market,49,-67,"USA (modern borders) — world's #1 tequila market (75% of exports)",#2E7D32,#2E7D3233,""
usa-tequila-market,30,-81,"USA (modern borders) — world's #1 tequila market (75% of exports)",#2E7D32,#2E7D3233,""
usa-tequila-market,32,-117,"USA (modern borders) — world's #1 tequila market (75% of exports)",#2E7D32,#2E7D3233,""
