polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent historical Ethiopian empires, Ottoman-era Yemen, British Protectorate of Aden, or pre-independence Somaliland."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
ethiopia-khat-origin,14.5,36.5,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,"Modern political border (post-1991). Khat's ORIGIN + world's largest producer. Harar + Oromia highlands. #2 foreign-exchange earner after coffee. Legal + culturally central."
ethiopia-khat-origin,14.8,41.0,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
ethiopia-khat-origin,11.0,43.0,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
ethiopia-khat-origin,7.0,45.0,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
ethiopia-khat-origin,4.3,42.0,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
ethiopia-khat-origin,4.7,37.5,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
ethiopia-khat-origin,9.5,34.0,"Ethiopia (modern borders) — khat origin + largest producer",#993C1D,#993C1D33,""
yemen-khat,18,43,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,"Modern political border. Estimated 70% of Yemen's water use goes to khat cultivation — climate-crisis multiplier. Tafrita (afternoon chewing) is a central institution. Civil war since 2015 has disrupted but not stopped the trade."
yemen-khat,17,47,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,""
yemen-khat,19,52,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,""
yemen-khat,16,54,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,""
yemen-khat,12.6,54,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,""
yemen-khat,13,43,"Yemen (modern borders) — daily chewing session at national scale",#2E7D32,#2E7D3233,""
somalia-djibouti,12,41,"Somalia + Djibouti (modern borders) — major consumer markets",#2E7D32,#2E7D3233,"Modern political borders. Somalia may be the world's largest per-capita khat market. Djibouti serves as transit + consumption corridor. Imports flown in daily from Kenya + Ethiopia."
somalia-djibouti,12,51,"Somalia + Djibouti (modern borders) — major consumer markets",#2E7D32,#2E7D3233,""
somalia-djibouti,2,51,"Somalia + Djibouti (modern borders) — major consumer markets",#2E7D32,#2E7D3233,""
somalia-djibouti,-2,45,"Somalia + Djibouti (modern borders) — major consumer markets",#2E7D32,#2E7D3233,""
somalia-djibouti,3,41,"Somalia + Djibouti (modern borders) — major consumer markets",#2E7D32,#2E7D3233,""
kenya-meru,3,34,"Kenya (modern borders) — Meru miraa trade",#2E7D32,#2E7D3233,"Modern political border (post-1963). Meru County 'miraa' is air-freighted daily to Somalia + UK diaspora pre-ban. Regional economic anchor; miraa trade dominated by women entrepreneurs."
kenya-meru,5,41,"Kenya (modern borders) — Meru miraa trade",#2E7D32,#2E7D3233,""
kenya-meru,-1,41,"Kenya (modern borders) — Meru miraa trade",#2E7D32,#2E7D3233,""
kenya-meru,-5,39,"Kenya (modern borders) — Meru miraa trade",#2E7D32,#2E7D3233,""
kenya-meru,-5,34,"Kenya (modern borders) — Meru miraa trade",#2E7D32,#2E7D3233,""
uk-ban-2014,60,-8,"UK (modern borders) — banned 2014",#2E7D32,#2E7D3233,"Modern political border. UK banned khat (Class C drug) in 2014, despite Home Office advisory council recommending no ban. Disrupted Somali + Yemeni diaspora economies in Cardiff, Birmingham, London."
uk-ban-2014,60,2,"UK (modern borders) — banned 2014",#2E7D32,#2E7D3233,""
uk-ban-2014,50,2,"UK (modern borders) — banned 2014",#2E7D32,#2E7D3233,""
uk-ban-2014,50,-8,"UK (modern borders) — banned 2014",#2E7D32,#2E7D3233,""
