line_id,lat,lng,title,color,description
coffee-origin,7.3,36.5,"LAYER 1 — Historical Trade: Origin (Ethiopia → Yemen)",#8B4513,Kaffa highlands in Ethiopia where coffee evolved naturally in forest understory. Layer 1 (historical trade) = brown.
coffee-origin,12.0,39.0,"LAYER 1 — Historical Trade: Origin (Ethiopia → Yemen)",#8B4513,Ethiopian highlands en route to the Red Sea coast.
coffee-origin,12.8,43.4,"LAYER 1 — Historical Trade: Origin (Ethiopia → Yemen)",#8B4513,Bab-el-Mandeb — the Red Sea strait coffee crossed to reach Arabia.
coffee-origin,13.32,43.25,"LAYER 1 — Historical Trade: Origin (Ethiopia → Yemen)",#8B4513,Mocha (Al-Mukha) Yemen — Sufi monks used coffee for night prayer by the 15th century.
coffee-ottoman-spread,13.32,43.25,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Mocha — entry into the Ottoman trade network.
coffee-ottoman-spread,21.42,39.83,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Mecca — early ban on coffee lifted as trade value became clear.
coffee-ottoman-spread,30.05,31.23,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Cairo — major Ottoman coffee trading hub.
coffee-ottoman-spread,33.51,36.29,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Damascus — Silk Road junction.
coffee-ottoman-spread,41.01,28.98,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Constantinople (Istanbul) — first coffeehouses opened 1550s as 'schools of the wise'.
coffee-ottoman-spread,48.21,16.37,"LAYER 1 — Historical Trade: Ottoman Spread (Yemen → Vienna)",#8B4513,Vienna — Ottoman coffee reached Europe after the 1683 siege.
coffee-european-coffeehouses,41.01,28.98,"LAYER 1 — Historical Trade: European Coffeehouses",#8B4513,Istanbul — the coffeehouse model spreads west.
coffee-european-coffeehouses,45.44,12.33,"LAYER 1 — Historical Trade: European Coffeehouses",#8B4513,Venice — Europe's first commercial coffee imports (early 1600s).
coffee-european-coffeehouses,48.86,2.35,"LAYER 1 — Historical Trade: European Coffeehouses",#8B4513,Paris — Café Procope (1686) becomes a center of Enlightenment debate.
coffee-european-coffeehouses,52.37,4.90,"LAYER 1 — Historical Trade: European Coffeehouses",#8B4513,Amsterdam — Dutch East India Company coffee re-exports.
coffee-european-coffeehouses,51.51,-0.13,"LAYER 1 — Historical Trade: European Coffeehouses",#8B4513,London — 'Penny Universities' and the birth of Lloyd's insurance + the Stock Exchange.
