episode,season,commodity,center_lat,center_lng,zoom,rationale
1,1,Coffee,20,0,2,"World view — shows Ethiopian origin + European coffeehouses + Caribbean transplant + Brazilian production all on one map"
2,1,Tea,30,100,2,"Asia-Europe axis — Yunnan origin + Indian/Chinese production + British maritime trade routes all visible"
3,1,Chocolate,10,-30,2,"Americas + Europe + Africa view — Aztec heartland + Spanish conquest route + West African transplant"
4,1,Sugar,15,-30,2,"Atlantic triangle view — West Africa + Caribbean + Brazil + Europe all on one panel"
5,1,"Forest Wisdom (Guayusa + Kola)",0,-20,2,"Dual-hotspot view — Amazon + West Africa both visible on the equator axis"
6,1,Kava,-15,180,3,"Pacific-centered — antimeridian crossing (Vanuatu + Fiji + Samoa + Tonga + Hawai'i all visible)"
7,1,Synthesis (My Daily Altar),15,0,2,"World view — all seven commodities' origins visible as a pattern"
8,2,Beer,35,20,3,"Middle East + Mediterranean + Europe — Sumerian origin + Egyptian brewing + European beer belt"
9,2,Wine,35,15,3,"Mediterranean focus — Caucasus origin + Greek/Roman spread + Bordeaux + modern New World wine regions"
10,2,Whiskey,45,-40,3,"North Atlantic — Scotland + Ireland + US South (Kentucky/Tennessee) + Uncle Nearest Tennessee story"
11,2,Rum,15,-65,4,"Caribbean + Atlantic — Barbados origin + triangular trade + molasses economy to US"
12,2,"Tequila + Mezcal",22,-101,4,"Mexico focus — Jalisco (tequila DO) + Oaxaca (mezcal) + indigenous Nahua/Zapotec homelands"
13,2,Sake,36,138,5,"Japan focus — Niigata + Kyoto + Hyogo sake regions + historical Edo-period breweries"
14,2,The Toast (synthesis),30,10,2,"World view — all seven Season 2 alcohols origin + modern production regions visible"
15,3,Tobacco,15,-50,2,"Americas + global spread — Indigenous origin + Caribbean + Chesapeake + African + Chinese transplant"
16,3,Cannabis,25,60,3,"Central Asia origin + global spread — Hindu Kush + Morocco Rif + US West + Colombia"
17,3,Opioids (Opium Poppy),30,70,3,"Central/South Asia focus — Afghanistan Helmand + Myanmar Golden Triangle + Turkey + Mexico"
18,3,Coca,-10,-75,4,"Andes focus — Colombia Putumayo + Peru VRAEM + Bolivia Chapare + sacred cultural range"
19,3,Psychedelics (Peyote),25,-105,5,"Chihuahuan Desert — tight regional focus (Texas + northern Mexico only)"
20,3,Khat,12,45,5,"Horn of Africa + Arabia — Ethiopia Harar + Kenya Meru + Yemen highlands + Somalia corridor"
21,3,Synthesis (The Forbidden Leaf),20,0,2,"World view — all seven Season 3 substances + convergence on modern policy + illicit economy"
