line_id,lat,lng,title,color,description
beer-sumerian-origin,30.87,46.10,"LAYER 1 — Historical Trade: Sumerian beer origin (Mesopotamia)",#8B4513,"Uruk Mesopotamia ~4,000 BCE — Ninkasi hymn is the world's oldest written recipe. Beer was daily nutrition + ritual drink + wages."
beer-sumerian-origin,32.54,44.42,"LAYER 1 — Historical Trade: Sumerian beer origin (Mesopotamia)",#8B4513,"Babylon — Hammurabi's Code (~1754 BCE) regulates tavern-keepers; ration lists record beer allocations."
beer-egyptian-brewing,30.05,31.23,"LAYER 1 — Historical Trade: Egyptian mass brewing",#8B4513,"Cairo / Giza — Egyptian workers building pyramids received daily beer rations (4–5 litres)."
beer-egyptian-brewing,25.69,32.64,"LAYER 1 — Historical Trade: Egyptian mass brewing",#8B4513,"Luxor — documented brewery complexes associated with funerary complexes."
beer-european-monastic,51.17,4.41,"LAYER 1 — Historical Trade: European monastic brewing",#8B4513,"Belgium — Trappist abbeys systematize brewing in Middle Ages; lambic, Flemish red, abbey styles all trace here."
beer-european-monastic,48.14,11.58,"LAYER 1 — Historical Trade: European monastic brewing",#8B4513,"Munich Bavaria — 1516 Reinheitsgebot purity law limits beer to water, barley, hops."
beer-european-monastic,49.75,13.38,"LAYER 1 — Historical Trade: European monastic brewing",#8B4513,"Plzeň Czech Republic — 1842 Pilsner Urquell creates the pale lager style that dominates global beer today."
beer-craft-diaspora,41.88,-87.63,"LAYER 1 — Historical Trade: American immigration + craft revival",#8B4513,"Midwest USA (Milwaukee/Chicago) — 19th-century German immigration builds the lager brewing industry."
beer-craft-diaspora,37.77,-122.42,"LAYER 1 — Historical Trade: American immigration + craft revival",#8B4513,"San Francisco Bay — Anchor Brewing + Sierra Nevada launch the US craft beer revolution in the 1970s–80s."
beer-craft-diaspora,39.77,-86.16,"LAYER 1 — Historical Trade: American immigration + craft revival",#8B4513,"Indianapolis — modern American craft scene, Anthony's home market."
beer-word-diffusion,30.87,46.10,"LAYER 2 — Language Diffusion: beer / cerveza / pivo",#7B1FA2,"Sumerian — 'sikaru' (beer); Akkadian 'šikaru'. Earliest linguistic layer."
beer-word-diffusion,41.90,12.50,"LAYER 2 — Language Diffusion: beer / cerveza / pivo",#7B1FA2,"Latin — 'cervisia' (Gaulish loanword) → Spanish 'cerveza', Portuguese 'cerveja'."
beer-word-diffusion,52.5,13.4,"LAYER 2 — Language Diffusion: beer / cerveza / pivo",#7B1FA2,"German — 'Bier' (from Old High German 'bior')."
beer-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: beer / cerveza / pivo",#7B1FA2,"English — 'beer'. Also 'ale' (from Germanic 'alu')."
beer-word-diffusion,49.75,13.38,"LAYER 2 — Language Diffusion: beer / cerveza / pivo",#7B1FA2,"Czech / Slavic — 'pivo' (from Slavic 'piti' meaning 'to drink')."
beer-modern-supply,52.37,4.90,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Amsterdam / Heineken — third-largest brewer, global distribution from Dutch HQ."
beer-modern-supply,50.85,4.35,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Brussels / AB InBev — world's largest brewer; owns Budweiser, Stella, Corona, hundreds more."
beer-modern-supply,38.91,-77.03,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"USA — world's #1 beer consumer + largest craft scene (~9,000 breweries)."
beer-modern-supply,39.90,116.40,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Beijing — China is now the world's #1 beer producer by volume (mostly Snow Beer, Tsingtao)."
