polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions on this synthesis map are MODERN country borders. Season 2's origin regions span ancient Sumer, the Caucasus, Gaelic Scotland/Ireland, colonial Caribbean, indigenous Mexico, and Heian Japan — none of which match today's political geography."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
origin-beer,37,39,"Origin 1 — Beer (Iraq / Sumer)",#FFA726,#FFA72633,"Beer's ORIGIN — Sumerian Mesopotamia, modern Iraq. 4,000+ years of documented brewing. Ninkasi hymn + Hammurabi's tavern laws."
origin-beer,37,46,"Origin 1 — Beer (Iraq / Sumer)",#FFA726,#FFA72633,""
origin-beer,29,48,"Origin 1 — Beer (Iraq / Sumer)",#FFA726,#FFA72633,""
origin-beer,29,40,"Origin 1 — Beer (Iraq / Sumer)",#FFA726,#FFA72633,""
origin-wine,43,40,"Origin 2 — Wine (Georgia / Caucasus)",#AD1457,#AD145733,"Wine's ORIGIN — 8,000-year qvevri tradition at Gadachrili Gora. Georgia + Armenia pre-date all Mediterranean wine production."
origin-wine,43,46,"Origin 2 — Wine (Georgia / Caucasus)",#AD1457,#AD145733,""
origin-wine,41,46,"Origin 2 — Wine (Georgia / Caucasus)",#AD1457,#AD145733,""
origin-wine,41,40,"Origin 2 — Wine (Georgia / Caucasus)",#AD1457,#AD145733,""
origin-whiskey,60,-9,"Origin 3 — Whiskey (Scotland + Ireland)",#6D4C41,#6D4C4133,"Whiskey's ORIGIN — Gaelic 'uisge beatha' (water of life). 1494 Scottish Exchequer Rolls are the first written whisky record."
origin-whiskey,60,-3,"Origin 3 — Whiskey (Scotland + Ireland)",#6D4C41,#6D4C4133,""
origin-whiskey,51,-5,"Origin 3 — Whiskey (Scotland + Ireland)",#6D4C41,#6D4C4133,""
origin-whiskey,51,-10,"Origin 3 — Whiskey (Scotland + Ireland)",#6D4C41,#6D4C4133,""
origin-rum,15,-62,"Origin 4 — Rum (Barbados / Caribbean)",#00838F,#00838F33,"Rum's ORIGIN — Barbados 1640s, built on enslaved labour in British sugar-plantation economy. Atlantic slave triangle anchor."
origin-rum,15,-58,"Origin 4 — Rum (Barbados / Caribbean)",#00838F,#00838F33,""
origin-rum,11,-58,"Origin 4 — Rum (Barbados / Caribbean)",#00838F,#00838F33,""
origin-rum,11,-62,"Origin 4 — Rum (Barbados / Caribbean)",#00838F,#00838F33,""
origin-tequila,23,-110,"Origin 5 — Tequila + Mezcal (Mexico)",#7B1FA2,#7B1FA233,"Tequila + mezcal ORIGIN — indigenous Zapotec, Mixtec, Nahua fermentation of agave predates Spanish arrival. Tequila DO (1974) + Mezcal DO (1994) protect the names."
origin-tequila,23,-97,"Origin 5 — Tequila + Mezcal (Mexico)",#7B1FA2,#7B1FA233,""
origin-tequila,16,-94,"Origin 5 — Tequila + Mezcal (Mexico)",#7B1FA2,#7B1FA233,""
origin-tequila,16,-105,"Origin 5 — Tequila + Mezcal (Mexico)",#7B1FA2,#7B1FA233,""
origin-sake,45,140,"Origin 6 — Sake (Japan)",#C62828,#C6282833,"Sake's ORIGIN — 2,000+ years of Japanese rice fermentation. Niigata + Hyogo Nada + Kyoto Fushimi three-region anchor."
origin-sake,45,145,"Origin 6 — Sake (Japan)",#C62828,#C6282833,""
origin-sake,34,140,"Origin 6 — Sake (Japan)",#C62828,#C6282833,""
origin-sake,31,130,"Origin 6 — Sake (Japan)",#C62828,#C6282833,""
origin-sake,34,129,"Origin 6 — Sake (Japan)",#C62828,#C6282833,""
origin-sake,40,137,"Origin 6 — Sake (Japan)",#C62828,#C6282833,""
