polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. Cannabis's cultural geography spans Scythian nomad territory, ancient Persia, Mughal India, colonial Caribbean, Rastafari Jamaica — none of which align with present-day states."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
central-asia-origin,40,62,"Central Asia (modern borders) — cannabis origin (Hindu Kush / Pamir)",#993C1D,#993C1D33,"Modern political borders — Afghanistan + Pakistan + Tajikistan + Uzbekistan region. Cannabis sativa + indica evolved in the Hindu Kush and Pamir mountains. Scythian and Pazyryk archaeological sites document ritual use ~2,500 years ago."
central-asia-origin,40,75,"Central Asia (modern borders) — cannabis origin (Hindu Kush / Pamir)",#993C1D,#993C1D33,""
central-asia-origin,30,75,"Central Asia (modern borders) — cannabis origin (Hindu Kush / Pamir)",#993C1D,#993C1D33,""
central-asia-origin,30,60,"Central Asia (modern borders) — cannabis origin (Hindu Kush / Pamir)",#993C1D,#993C1D33,""
india-bhang,35,68,"India (modern borders) — bhang sacramental tradition",#2E7D32,#2E7D3233,"Modern political border. Bhang documented in Atharva Veda (~1500 BCE). Cannabis is a legal cultural exemption during Hindu festivals (Holi, Maha Shivratri) despite general prohibition."
india-bhang,28,92,"India (modern borders) — bhang sacramental tradition",#2E7D32,#2E7D3233,""
india-bhang,8,78,"India (modern borders) — bhang sacramental tradition",#2E7D32,#2E7D3233,""
india-bhang,8,77,"India (modern borders) — bhang sacramental tradition",#2E7D32,#2E7D3233,""
india-bhang,22,68,"India (modern borders) — bhang sacramental tradition",#2E7D32,#2E7D3233,""
morocco-rif,36,-6,"Morocco Rif Mountains (modern borders) — hashish heartland",#2E7D32,#2E7D3233,"Modern political border. Rif region hashish production 15th century onward; now the largest illicit supplier to European markets. Complex colonial + post-colonial policy history."
morocco-rif,36,-1,"Morocco Rif Mountains (modern borders) — hashish heartland",#2E7D32,#2E7D3233,""
morocco-rif,21,-17,"Morocco Rif Mountains (modern borders) — hashish heartland",#2E7D32,#2E7D3233,""
morocco-rif,28,-13,"Morocco Rif Mountains (modern borders) — hashish heartland",#2E7D32,#2E7D3233,""
jamaica-rastafari,19,-79,"Jamaica (modern borders) — Rastafari ganja sacrament",#2E7D32,#2E7D3233,"Modern political border (post-1962 independence). Indian indentured labourers post-1838 abolition seeded cannabis culture; Rastafari movement (1930s) made ganja a central religious sacrament."
jamaica-rastafari,19,-76,"Jamaica (modern borders) — Rastafari ganja sacrament",#2E7D32,#2E7D3233,""
jamaica-rastafari,17,-76,"Jamaica (modern borders) — Rastafari ganja sacrament",#2E7D32,#2E7D3233,""
jamaica-rastafari,17,-79,"Jamaica (modern borders) — Rastafari ganja sacrament",#2E7D32,#2E7D3233,""
usa-legal-states,49,-125,"USA (modern borders) — patchwork legalization",#2E7D32,#2E7D3233,"Modern political border. As of 2026: ~24 states recreational, ~38 states medical, federal still Schedule I. 1937 Marihuana Tax Act + 1970 CSA created federal criminalization that fell disproportionately on Black + Latino communities."
usa-legal-states,49,-67,"USA (modern borders) — patchwork legalization",#2E7D32,#2E7D3233,""
usa-legal-states,30,-81,"USA (modern borders) — patchwork legalization",#2E7D32,#2E7D3233,""
usa-legal-states,32,-117,"USA (modern borders) — patchwork legalization",#2E7D32,#2E7D3233,""
canada-legal,60,-140,"Canada (modern borders) — nationally legal since 2018",#2E7D32,#2E7D3233,"Modern political border. First G7 nation to fully legalize recreational cannabis (2018). Federally regulated market ~$4B/year. Exports to Germany, Israel, Australia medical markets."
canada-legal,60,-60,"Canada (modern borders) — nationally legal since 2018",#2E7D32,#2E7D3233,""
canada-legal,44,-60,"Canada (modern borders) — nationally legal since 2018",#2E7D32,#2E7D3233,""
canada-legal,44,-124,"Canada (modern borders) — nationally legal since 2018",#2E7D32,#2E7D3233,""
germany-legal-2024,54,6,"Germany (modern borders) — legalized 2024",#2E7D32,#2E7D3233,"Modern political border. Germany legalized recreational cannabis in April 2024 — largest European country to do so. Cannabis Social Clubs model regulates supply."
germany-legal-2024,54,15,"Germany (modern borders) — legalized 2024",#2E7D32,#2E7D3233,""
germany-legal-2024,47,13,"Germany (modern borders) — legalized 2024",#2E7D32,#2E7D3233,""
germany-legal-2024,47,7,"Germany (modern borders) — legalized 2024",#2E7D32,#2E7D3233,""
