polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent ancient Sumer, Babylon, the Roman Empire, the Holy Roman Empire, or historical brewing guilds."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
iraq-sumer,37,39,"Iraq (modern borders) — ancient Sumerian beer origin",#185FA5,#185FA533,"Modern political border (post-1932). ORIGIN of documented beer — Ninkasi hymn, Hammurabi's Code, tavern regulations 4,000+ years ago. Modern Iraq is a minor producer; significance is cultural-historical."
iraq-sumer,37,46,"Iraq (modern borders) — ancient Sumerian beer origin",#185FA5,#185FA533,""
iraq-sumer,29,48,"Iraq (modern borders) — ancient Sumerian beer origin",#185FA5,#185FA533,""
iraq-sumer,29,40,"Iraq (modern borders) — ancient Sumerian beer origin",#185FA5,#185FA533,""
germany-beer,54,6,"Germany (modern borders) — Reinheitsgebot + lager revolution",#2E7D32,#2E7D3233,"Modern political border (post-1990 reunification). 1516 Reinheitsgebot purity law still informs brewing culture. Bavaria is the beer heartland — Oktoberfest, Hefeweizen, Märzen styles all originate here."
germany-beer,54,15,"Germany (modern borders) — Reinheitsgebot + lager revolution",#2E7D32,#2E7D3233,""
germany-beer,47,13,"Germany (modern borders) — Reinheitsgebot + lager revolution",#2E7D32,#2E7D3233,""
germany-beer,47,7,"Germany (modern borders) — Reinheitsgebot + lager revolution",#2E7D32,#2E7D3233,""
belgium-czech,51,3,"Belgium + Czech Republic (modern borders) — monastic + pilsner",#2E7D32,#2E7D3233,"Modern political borders. Belgium: Trappist abbey brewing tradition (lambic, abbey, saison). Czechia: Plzeň invented the pale lager style in 1842, now the world's dominant beer style."
belgium-czech,51,7,"Belgium + Czech Republic (modern borders) — monastic + pilsner",#2E7D32,#2E7D3233,""
belgium-czech,51,19,"Belgium + Czech Republic (modern borders) — monastic + pilsner",#2E7D32,#2E7D3233,""
belgium-czech,49,14,"Belgium + Czech Republic (modern borders) — monastic + pilsner",#2E7D32,#2E7D3233,""
belgium-czech,50,3,"Belgium + Czech Republic (modern borders) — monastic + pilsner",#2E7D32,#2E7D3233,""
usa-beer,49,-125,"USA (modern borders) — craft beer capital",#2E7D32,#2E7D3233,"Modern political border. World's largest craft brewing scene — ~9,000 breweries. German immigration built 19th-century lager industry (Milwaukee, Chicago, St. Louis). Anthony's Indianapolis craft scene is part of this."
usa-beer,49,-67,"USA (modern borders) — craft beer capital",#2E7D32,#2E7D3233,""
usa-beer,30,-81,"USA (modern borders) — craft beer capital",#2E7D32,#2E7D3233,""
usa-beer,30,-104,"USA (modern borders) — craft beer capital",#2E7D32,#2E7D3233,""
usa-beer,32,-117,"USA (modern borders) — craft beer capital",#2E7D32,#2E7D3233,""
china-beer,53,80,"China (modern borders) — world's #1 beer producer today",#2E7D32,#2E7D3233,"Modern political border. China became the world's #1 beer producer by volume in 2002 (Snow Beer is the single best-selling beer on Earth). German-founded Tsingtao (1903) was the early industrial entry."
china-beer,50,130,"China (modern borders) — world's #1 beer producer today",#2E7D32,#2E7D3233,""
china-beer,22,109,"China (modern borders) — world's #1 beer producer today",#2E7D32,#2E7D3233,""
china-beer,28,85,"China (modern borders) — world's #1 beer producer today",#2E7D32,#2E7D3233,""
china-beer,45,74,"China (modern borders) — world's #1 beer producer today",#2E7D32,#2E7D3233,""
mexico-beer,32,-117,"Mexico (modern borders) — world's largest exporter by value",#2E7D32,#2E7D3233,"Modern political border. Mexico is the world's #1 beer EXPORTER by value (Corona, Modelo, Pacifico). Grupo Modelo (owned by AB InBev) anchors the industry."
mexico-beer,32,-106,"Mexico (modern borders) — world's largest exporter by value",#2E7D32,#2E7D3233,""
mexico-beer,17,-88,"Mexico (modern borders) — world's largest exporter by value",#2E7D32,#2E7D3233,""
mexico-beer,15,-92,"Mexico (modern borders) — world's largest exporter by value",#2E7D32,#2E7D3233,""
mexico-beer,20,-105,"Mexico (modern borders) — world's largest exporter by value",#2E7D32,#2E7D3233,""
