line_id,lat,lng,title,color,description
sugar-cane-origin,-6.31,143.96,"LAYER 1 — Historical Trade: Sugar cane's Pacific origin",#8B4513,"Papua New Guinea — Saccharum officinarum domesticated ~10,000 years ago. Spreads across Oceania via Austronesian migrations."
sugar-cane-origin,20.59,78.96,"LAYER 1 — Historical Trade: Sugar cane's Pacific origin",#8B4513,"India ~500 BCE — first documented crystallized sugar production ('khanda' gives us 'candy')."
sugar-cane-origin,32.07,34.79,"LAYER 1 — Historical Trade: Sugar cane's Pacific origin",#8B4513,"Persia + Levant — Arab agricultural revolution spreads cane cultivation ~700 CE."
sugar-cane-origin,37.39,-5.98,"LAYER 1 — Historical Trade: Sugar cane's Pacific origin",#8B4513,"Andalusia (Spain) — Moorish agricultural knowledge introduces cane to Iberia 8th–10th century."
sugar-atlantic-triangle,41.90,-8.76,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"Portugal/Spain — European start. Manufactured goods: textiles, guns, metal goods board ships bound for West Africa."
sugar-atlantic-triangle,8.48,-13.23,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"West African coast (Elmina, Bight of Benin) — ~12.5 million enslaved Africans forced onto ships 1501–1866 (slavevoyages.org)."
sugar-atlantic-triangle,18.54,-72.34,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"Saint-Domingue (Haiti) — 'the richest sugar colony on Earth' by 1788, built on ~500,000 enslaved people."
sugar-atlantic-triangle,13.19,-59.54,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"Barbados — first major British sugar colony (1640s)."
sugar-atlantic-triangle,18.11,-77.30,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"Jamaica — second-largest British sugar producer."
sugar-atlantic-triangle,-12.97,-38.50,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"Bahia Brazil — Portuguese sugar engenho (mill) economy, ~40% of all enslaved Africans brought to the Americas."
sugar-atlantic-triangle,30.00,-90.05,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 1)",#8B4513,"New Orleans (Louisiana) — US sugar plantation economy; 'sold down the river' originates here."
sugar-atlantic-triangle,42.36,-71.05,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 2)",#8B4513,"Boston + New England — molasses imports → rum distilleries → ships back to West Africa. The triangular trade closes."
sugar-atlantic-triangle,51.51,-0.13,"LAYER 1 — Historical Trade: Atlantic Slave Trade Triangle (leg 3)",#8B4513,"London — refined sugar and rum return to Europe. Bristol + Liverpool + London grow wealthy on the triangle."
sugar-beet-revolution,52.52,13.41,"LAYER 1 — Historical Trade: Sugar beet revolution (1747+)",#8B4513,"Berlin — Andreas Marggraf identifies sucrose in sugar beets 1747. First factory (Silesia) 1802."
sugar-beet-revolution,48.86,2.35,"LAYER 1 — Historical Trade: Sugar beet revolution (1747+)",#8B4513,"Paris — Napoleonic Continental System blockade (1806) drives French investment in beet sugar. Ends Europe's dependency on Caribbean cane."
sugar-beet-revolution,55.76,37.62,"LAYER 1 — Historical Trade: Sugar beet revolution (1747+)",#8B4513,"Russia — beet sugar industry dominates Eastern European supply by mid-19th century."
sugar-word-diffusion,20.59,78.96,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"India — Sanskrit 'sharkara' (शर्करा) meaning 'grit' or 'gravel' — describes the crystallized form."
sugar-word-diffusion,32.07,34.79,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"Arabic — 'sukkar' (سكر). Medieval Islamic traders spread the commodity + the word."
sugar-word-diffusion,41.90,12.50,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"Italian — 'zucchero'."
sugar-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"Spanish — 'azúcar'. Preserves the Arabic 'al-' article."
sugar-word-diffusion,48.86,2.35,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"French — 'sucre'."
sugar-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: Sanskrit 'sharkara' → sugar",#7B1FA2,"English — 'sugar'. Separately — 'candy' comes from 'khanda' (a piece)."
sugar-modern-supply,-23.55,-46.63,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"São Paulo Brazil — 39% of world cane sugar + world's largest ethanol-from-cane producer."
sugar-modern-supply,20.59,78.96,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Uttar Pradesh India — 20% of world production."
sugar-modern-supply,23.07,113.27,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Guangxi + Yunnan China — 6% of world production."
sugar-modern-supply,13.75,100.50,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Thailand — 5% of world production, world's #2 exporter."
sugar-modern-supply,-21.14,149.19,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Queensland Australia — major exporter to East Asian markets."
sugar-modern-supply,41.88,-87.63,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"USA corn belt — high-fructose corn syrup replaces cane sugar in most processed food post-1980 due to US tariff policy."
