polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent Taíno, Powhatan, or other Indigenous American nations; the colonial Virginia Company; the Ottoman Empire; or the Qing dynasty."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
americas-indigenous-origin,32,-117,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,"Modern political borders. Indigenous tobacco cultivation ancestral to Taíno Caribbean, Powhatan Chesapeake, Aztec Nahua, Maya — and pre-dates European colonisation by 6,000+ years."
americas-indigenous-origin,32,-81,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
americas-indigenous-origin,15,-88,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
americas-indigenous-origin,5,-78,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
americas-indigenous-origin,-10,-75,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
americas-indigenous-origin,-20,-65,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
americas-indigenous-origin,32,-117,"Americas (modern borders) — Indigenous tobacco origin",#993C1D,#993C1D33,""
china-tobacco,53,80,"China (modern borders) — world's #1 producer (43% of global)",#2E7D32,#2E7D3233,"Modern political border. China National Tobacco Corporation is a state monopoly producing ~43% of world tobacco. Yunnan, Guizhou, Henan are the main provinces."
china-tobacco,50,130,"China (modern borders) — world's #1 producer (43% of global)",#2E7D32,#2E7D3233,""
china-tobacco,22,109,"China (modern borders) — world's #1 producer (43% of global)",#2E7D32,#2E7D3233,""
china-tobacco,28,85,"China (modern borders) — world's #1 producer (43% of global)",#2E7D32,#2E7D3233,""
china-tobacco,45,74,"China (modern borders) — world's #1 producer (43% of global)",#2E7D32,#2E7D3233,""
brazil-tobacco,-26,-55,"Brazil (modern borders) — major exporter",#2E7D32,#2E7D3233,"Modern political border. Brazil's southern states (Rio Grande do Sul, Santa Catarina) produce ~11% of world tobacco, mostly for export."
brazil-tobacco,-30,-55,"Brazil (modern borders) — major exporter",#2E7D32,#2E7D3233,""
brazil-tobacco,-30,-50,"Brazil (modern borders) — major exporter",#2E7D32,#2E7D3233,""
brazil-tobacco,-25,-48,"Brazil (modern borders) — major exporter",#2E7D32,#2E7D3233,""
brazil-tobacco,-22,-50,"Brazil (modern borders) — major exporter",#2E7D32,#2E7D3233,""
india-tobacco,26,74,"India (modern borders) — #3 producer",#2E7D32,#2E7D3233,"Modern political border. Andhra Pradesh + Gujarat produce ~9% of world tobacco. India has strong anti-tobacco public-health campaigns even while remaining a major exporter."
india-tobacco,26,86,"India (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
india-tobacco,14,80,"India (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
india-tobacco,18,73,"India (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
africa-tobacco-belt,-8,22,"Africa tobacco belt (modern borders) — Malawi + Zimbabwe + Zambia",#2E7D32,#2E7D3233,"Modern political borders. Malawi's economy is highly dependent on tobacco (~50% of export earnings). Zimbabwe + Zambia also significant."
africa-tobacco-belt,-8,36,"Africa tobacco belt (modern borders) — Malawi + Zimbabwe + Zambia",#2E7D32,#2E7D3233,""
africa-tobacco-belt,-22,36,"Africa tobacco belt (modern borders) — Malawi + Zimbabwe + Zambia",#2E7D32,#2E7D3233,""
africa-tobacco-belt,-22,22,"Africa tobacco belt (modern borders) — Malawi + Zimbabwe + Zambia",#2E7D32,#2E7D3233,""
usa-tobacco-south,38,-88,"USA (modern borders) — tobacco south + Big Tobacco HQ",#2E7D32,#2E7D3233,"Modern political border. Kentucky, Tennessee, North Carolina, Virginia formed the historical tobacco belt — built on enslaved labour. Winston-Salem NC + Richmond VA were Big Tobacco's industrial centers."
usa-tobacco-south,38,-75,"USA (modern borders) — tobacco south + Big Tobacco HQ",#2E7D32,#2E7D3233,""
usa-tobacco-south,33,-75,"USA (modern borders) — tobacco south + Big Tobacco HQ",#2E7D32,#2E7D3233,""
usa-tobacco-south,33,-88,"USA (modern borders) — tobacco south + Big Tobacco HQ",#2E7D32,#2E7D3233,""
