polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent British/French/Spanish colonial Caribbean, the Atlantic slave trade routes, or pre-independence Cuba/Jamaica/Barbados."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
barbados-origin,13.5,-59.9,"Barbados (modern borders) — rum's birthplace",#185FA5,#185FA533,"Modern political border (post-1966 independence). Rum first distilled here on British sugar plantations 1640s; built entirely on enslaved labour. Mount Gay (est. 1703) is the world's oldest rum brand."
barbados-origin,13.5,-59.4,"Barbados (modern borders) — rum's birthplace",#185FA5,#185FA533,""
barbados-origin,13.0,-59.4,"Barbados (modern borders) — rum's birthplace",#185FA5,#185FA533,""
barbados-origin,13.0,-59.9,"Barbados (modern borders) — rum's birthplace",#185FA5,#185FA533,""
caribbean-rum-producers,23,-85,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,"Modern political borders. Jamaica, Cuba, Puerto Rico, Dominican Republic, Barbados, Trinidad — each island developed distinct rum styles from the same sugar-cane base. Industry grew out of slavery-era molasses economy."
caribbean-rum-producers,23,-75,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,""
caribbean-rum-producers,17,-61,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,""
caribbean-rum-producers,10,-61,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,""
caribbean-rum-producers,18,-78,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,""
caribbean-rum-producers,22,-85,"Caribbean (modern borders) — core rum-producing region",#2E7D32,#2E7D3233,""
brazil-cachaca,-2,-50,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,"Modern political border. ~1.4 billion litres/year, distinct from rum by legal definition (cachaça is cane juice, not molasses). ~99% consumed domestically. Anchors the caipirinha cocktail."
brazil-cachaca,-4,-38,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
brazil-cachaca,-25,-48,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
brazil-cachaca,-30,-53,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
brazil-cachaca,-16,-57,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
brazil-cachaca,-5,-73,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
brazil-cachaca,3,-60,"Brazil (modern borders) — cachaça, legally distinct from rum",#2E7D32,#2E7D3233,""
new-england-historical,48,-67,"USA / New England (modern borders) — historical triangle trade",#185FA5,#185FA533,"Modern political border. 150+ Boston-area rum distilleries by 1750. New England rum was the American side of the triangle trade (rum → Africa → enslaved people → Caribbean). Industry collapsed after the 1807 Slave Trade Act."
new-england-historical,48,-69,"USA / New England (modern borders) — historical triangle trade",#185FA5,#185FA533,""
new-england-historical,41,-70,"USA / New England (modern borders) — historical triangle trade",#185FA5,#185FA533,""
new-england-historical,41,-73,"USA / New England (modern borders) — historical triangle trade",#185FA5,#185FA533,""
new-england-historical,42,-73,"USA / New England (modern borders) — historical triangle trade",#185FA5,#185FA533,""
