line_id,lat,lng,title,color,description
coca-andean-origin,-13.52,-71.97,"LAYER 1 — Historical Trade: Andean indigenous origin",#8B4513,"Cusco Peru — Erythroxylum coca cultivated and chewed by Indigenous Quechua + Aymara peoples for 8,000+ years. Sacred plant (Mama Coca)."
coca-andean-origin,-17.38,-66.17,"LAYER 1 — Historical Trade: Andean indigenous origin",#8B4513,"Cochabamba Bolivia — traditional coca heartland (Yungas + Chapare regions). Chewing is legal and cultural foundation."
coca-spanish-exploitation,-13.52,-71.97,"LAYER 1 — Historical Trade: Spanish colonial exploitation",#8B4513,"Cusco — Spanish colonial authorities initially tried to ban coca, then reversed when they realized it enabled Indigenous silver miners to work longer hours at Potosí mines."
coca-spanish-exploitation,-19.59,-65.75,"LAYER 1 — Historical Trade: Spanish colonial exploitation",#8B4513,"Potosí silver mines — coca chewing fuels massive colonial silver extraction. Estimated 8 million Indigenous deaths linked to Potosí."
coca-pharmaceutical,46.95,7.44,"LAYER 1 — Historical Trade: 19th-century pharmaceutical isolation",#8B4513,"Bern / Zurich — German chemist Albert Niemann isolates cocaine alkaloid 1860."
coca-pharmaceutical,48.21,16.37,"LAYER 1 — Historical Trade: 19th-century pharmaceutical isolation",#8B4513,"Vienna — Sigmund Freud publishes 'Über Coca' 1884 praising cocaine; Karl Koller pioneers cocaine surgical anaesthesia."
coca-pharmaceutical,33.74,-84.39,"LAYER 1 — Historical Trade: 19th-century pharmaceutical isolation",#8B4513,"Atlanta 1886 — John Pemberton combines coca + kola nut to create Coca-Cola (cocaine removed 1903)."
coca-drug-war,38.91,-77.03,"LAYER 1 — Historical Trade: US Drug War + Plan Colombia",#8B4513,"Washington DC — 1970 Controlled Substances Act Schedule II. 1999 Plan Colombia $10B+ aerial fumigation program."
coca-drug-war,4.71,-74.07,"LAYER 1 — Historical Trade: US Drug War + Plan Colombia",#8B4513,"Bogotá Colombia — fumigation campaigns, military operations, FARC conflict."
coca-drug-war,-15.36,-68.23,"LAYER 1 — Historical Trade: US Drug War + Plan Colombia",#8B4513,"La Paz Bolivia — 2005 Evo Morales elected, former coca growers' union leader. Makes coca chewing legal globally via UN reservation."
coca-word-diffusion,-13.52,-71.97,"LAYER 2 — Language Diffusion: Quechua + Aymara names",#7B1FA2,"Quechua — 'kuka'. Ancestral name; cultural + sacred meaning."
coca-word-diffusion,-17.38,-66.17,"LAYER 2 — Language Diffusion: Quechua + Aymara names",#7B1FA2,"Aymara — 'khoka'. Same root, different phonology."
coca-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: Quechua + Aymara names",#7B1FA2,"Spanish — 'coca'. Preserved Quechua word; 'cocaína' is the isolated alkaloid."
coca-word-diffusion,33.74,-84.39,"LAYER 2 — Language Diffusion: Quechua + Aymara names",#7B1FA2,"English — 'coca' + 'cocaine'. 'Coca-Cola' still carries the Quechua root."
coca-modern-supply,4.71,-74.07,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Colombia — world's largest cocaine supplier, despite Plan Colombia. Catatumbo + Nariño + Cauca + Putumayo main regions."
coca-modern-supply,-10.00,-75.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Peru — VRAEM + Huallaga valleys. Second-largest producer."
coca-modern-supply,-17.38,-66.17,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Bolivia — legal coca (chewing + tea) + illicit cocaine. Third producer."
coca-modern-supply,25.76,-80.19,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Miami — main US entry point for Colombian cocaine via Caribbean + Central American routes."
