line_id,lat,lng,title,color,description
cacao-origin,-1.0,-78.5,"LAYER 1 — Historical Trade: Cacao's Amazonian origin",#8B4513,"Upper Amazon basin (Ecuador/Peru) — cacao evolved here; modern DNA analysis points to this region as the true origin of Theobroma cacao (Zarrillo 2018)."
cacao-origin,15.5,-90.3,"LAYER 1 — Historical Trade: Cacao's Amazonian origin",#8B4513,"Olmec Mesoamerica (Veracruz) — earliest documented cacao consumption ~1500 BCE."
cacao-origin,17.3,-88.8,"LAYER 1 — Historical Trade: Cacao's Amazonian origin",#8B4513,"Maya lowlands (Guatemala/Belize) — cacao buried with kings; depicted in the Popol Vuh."
cacao-origin,19.43,-99.13,"LAYER 1 — Historical Trade: Cacao's Amazonian origin",#8B4513,"Tenochtitlan (Mexico City) — Aztec capital where cacao served as currency and sacred drink ('xocolatl')."
cacao-spanish-conquest,19.43,-99.13,"LAYER 1 — Historical Trade: Spanish conquest transplant",#8B4513,"Tenochtitlan 1519 — Cortés encounters Moctezuma drinking xocolatl. Cacao enters Spanish colonial economy via pochteca trade networks."
cacao-spanish-conquest,40.42,-3.70,"LAYER 1 — Historical Trade: Spanish conquest transplant",#8B4513,"Madrid — Spanish court develops sweetened chocolate; monopoly on recipe lasts ~100 years before spreading to Italy and France."
cacao-spanish-conquest,41.90,12.50,"LAYER 1 — Historical Trade: Spanish conquest transplant",#8B4513,"Rome / Italy — chocolate spreads via Jesuit and diplomatic networks in the 17th century."
cacao-spanish-conquest,48.86,2.35,"LAYER 1 — Historical Trade: Spanish conquest transplant",#8B4513,"Paris — chocolate arrives via Anne of Austria's Spanish court marriage to Louis XIII (1615)."
cacao-spanish-conquest,51.51,-0.13,"LAYER 1 — Historical Trade: Spanish conquest transplant",#8B4513,"London — first chocolate house opens 1657; establishment gathering spots for elite."
cacao-colonial-plantations,-13.23,-72.12,"LAYER 1 — Historical Trade: Colonial plantation spread",#8B4513,"Caribbean + South America — Spanish + Portuguese establish plantations across Venezuela, Trinidad, Bahia Brazil using enslaved African labour."
cacao-colonial-plantations,-13.5,-39.1,"LAYER 1 — Historical Trade: Colonial plantation spread",#8B4513,"Bahia Brazil — 17th-century plantation economy."
cacao-colonial-plantations,10.69,-61.22,"LAYER 1 — Historical Trade: Colonial plantation spread",#8B4513,"Trinidad — origin of the Trinitario hybrid (Criollo × Forastero)."
cacao-colonial-plantations,6.42,-66.59,"LAYER 1 — Historical Trade: Colonial plantation spread",#8B4513,"Venezuela — Criollo cultivation; still produces the rarest cacao variety today."
cacao-african-transplant,0.00,-2.00,"LAYER 1 — Historical Trade: African transplant (late 19th century)",#8B4513,"São Tomé and Príncipe — Portuguese transplant cacao from Brazil to West Africa 1822; become staging base for continental spread."
cacao-african-transplant,7.97,-5.57,"LAYER 1 — Historical Trade: African transplant (late 19th century)",#8B4513,"Côte d'Ivoire — becomes world's largest producer by late 20th century (42% of world cacao today)."
cacao-african-transplant,7.95,-1.03,"LAYER 1 — Historical Trade: African transplant (late 19th century)",#8B4513,"Ghana — British colonial introduction 1879; today produces ~17% of world cacao."
cacao-african-transplant,9.08,8.68,"LAYER 1 — Historical Trade: African transplant (late 19th century)",#8B4513,"Nigeria — 7% of world production today."
cacao-word-diffusion,19.43,-99.13,"LAYER 2 — Language Diffusion: xocolatl → chocolate",#7B1FA2,"Nahuatl (Aztec) — 'xocolatl' meaning 'bitter water'."
cacao-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: xocolatl → chocolate",#7B1FA2,"Spanish — 'chocolate'. Sweetened with cane sugar to mask the bitterness."
cacao-word-diffusion,46.2,2.2,"LAYER 2 — Language Diffusion: xocolatl → chocolate",#7B1FA2,"French — 'chocolat'."
cacao-word-diffusion,52.5,13.4,"LAYER 2 — Language Diffusion: xocolatl → chocolate",#7B1FA2,"German — 'Schokolade'."
cacao-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: xocolatl → chocolate",#7B1FA2,"English — 'chocolate'. The Nahuatl word survives in every European language despite genocide of Aztec speakers."
cacao-modern-supply,7.97,-5.57,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Côte d'Ivoire — 42% of world cacao. Child labour in the industry is a documented ongoing crisis (US Dept of Labor 2020)."
cacao-modern-supply,7.95,-1.03,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Ghana — 17% of world cacao."
cacao-modern-supply,-6.20,106.85,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Indonesia — 13% of world cacao."
cacao-modern-supply,9.08,8.68,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Nigeria — 7% of world cacao."
cacao-modern-supply,52.37,4.90,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Amsterdam — world's largest cocoa port."
cacao-modern-supply,52.5,13.4,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Germany — largest chocolate-exporting manufacturer in the EU."
cacao-modern-supply,41.01,-73.75,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"USA Northeast (Hershey PA) — historical and modern American chocolate manufacturing hub."
