polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions on this synthesis map are MODERN country borders. Season 3's origin regions span Indigenous Americas (pre-Columbian), Central Asian Scythian territories, Sumerian Mesopotamia, Inca Andes, Huichol desert sacred territory, and Ethiopian highland empires — none of which align with today's nation-states."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
origin-tobacco,32,-117,"Origin 1 — Tobacco (Americas)",#6D4C41,#6D4C4133,"Tobacco's ORIGIN — Indigenous Americas. Taíno, Powhatan, Aztec, Maya all used tobacco ceremonially for 6,000+ years before Columbus."
origin-tobacco,32,-81,"Origin 1 — Tobacco (Americas)",#6D4C41,#6D4C4133,""
origin-tobacco,5,-78,"Origin 1 — Tobacco (Americas)",#6D4C41,#6D4C4133,""
origin-tobacco,-20,-65,"Origin 1 — Tobacco (Americas)",#6D4C41,#6D4C4133,""
origin-tobacco,32,-117,"Origin 1 — Tobacco (Americas)",#6D4C41,#6D4C4133,""
origin-cannabis,40,62,"Origin 2 — Cannabis (Central Asia / Hindu Kush)",#4CAF50,#4CAF5033,"Cannabis's ORIGIN — Hindu Kush + Pamir mountains in modern Afghanistan/Pakistan/Tajikistan. Scythian archaeological evidence of ritual use ~2,500 years ago."
origin-cannabis,40,75,"Origin 2 — Cannabis (Central Asia / Hindu Kush)",#4CAF50,#4CAF5033,""
origin-cannabis,30,75,"Origin 2 — Cannabis (Central Asia / Hindu Kush)",#4CAF50,#4CAF5033,""
origin-cannabis,30,60,"Origin 2 — Cannabis (Central Asia / Hindu Kush)",#4CAF50,#4CAF5033,""
origin-opioids,37,39,"Origin 3 — Opioids (Mesopotamia)",#5D4037,#5D403733,"Opium's ORIGIN — Sumerian Mesopotamia, modern Iraq. 'Hul gil' (joy plant) documented in clay tablets ~3,400 BCE."
origin-opioids,37,46,"Origin 3 — Opioids (Mesopotamia)",#5D4037,#5D403733,""
origin-opioids,29,48,"Origin 3 — Opioids (Mesopotamia)",#5D4037,#5D403733,""
origin-opioids,29,40,"Origin 3 — Opioids (Mesopotamia)",#5D4037,#5D403733,""
origin-coca,-11,-69,"Origin 4 — Coca (Andean highlands)",#AD1457,#AD145733,"Coca's ORIGIN — Quechua + Aymara Andes. 8,000+ years of Indigenous use. Spanish colonial exploitation at Potosí silver mines. 1860 cocaine isolation. 1886 Coca-Cola."
origin-coca,-11,-58,"Origin 4 — Coca (Andean highlands)",#AD1457,#AD145733,""
origin-coca,-22,-58,"Origin 4 — Coca (Andean highlands)",#AD1457,#AD145733,""
origin-coca,-22,-69,"Origin 4 — Coca (Andean highlands)",#AD1457,#AD145733,""
origin-peyote,32,-107,"Origin 5 — Psychedelics (peyote — Chihuahuan Desert)",#7B1FA2,#7B1FA233,"Peyote's ORIGIN — Wixárika (Huichol) sacred territory in the Chihuahuan Desert. Cannot be grown outside this specific ecosystem. Wirikuta UNESCO site anchor."
origin-peyote,32,-100,"Origin 5 — Psychedelics (peyote — Chihuahuan Desert)",#7B1FA2,#7B1FA233,""
origin-peyote,22,-99,"Origin 5 — Psychedelics (peyote — Chihuahuan Desert)",#7B1FA2,#7B1FA233,""
origin-peyote,22,-107,"Origin 5 — Psychedelics (peyote — Chihuahuan Desert)",#7B1FA2,#7B1FA233,""
origin-khat,14.5,37,"Origin 6 — Khat (Ethiopia)",#FF6F00,#FF6F0033,"Khat's ORIGIN — Ethiopian highlands. Harar + Oromia regions cultivated 1,000+ years. Daily economic anchor across the Horn of Africa + Yemen."
origin-khat,14.5,41,"Origin 6 — Khat (Ethiopia)",#FF6F00,#FF6F0033,""
origin-khat,7,44,"Origin 6 — Khat (Ethiopia)",#FF6F00,#FF6F0033,""
origin-khat,4,37,"Origin 6 — Khat (Ethiopia)",#FF6F00,#FF6F0033,""
policy-drug-war,25,-125,"USA — global driver of prohibition policy (1971–present)",#9CA3AF,#9CA3AF33,"Modern political border. 1971 Nixon 'War on Drugs' declaration shapes global prohibition. Disproportionate enforcement devastated Black + Latino communities — cited throughout Season 3. Recent state-level reforms (Oregon, Colorado, California) challenge this model."
policy-drug-war,49,-67,"USA — global driver of prohibition policy (1971–present)",#9CA3AF,#9CA3AF33,""
policy-drug-war,49,-125,"USA — global driver of prohibition policy (1971–present)",#9CA3AF,#9CA3AF33,""
policy-drug-war,25,-81,"USA — global driver of prohibition policy (1971–present)",#9CA3AF,#9CA3AF33,""
policy-portugal-model,42,-10,"Portugal (modern borders) — 2001 decriminalization model",#2E7D32,#2E7D3233,"Modern political border. 2001 decriminalized possession of all drugs; funded treatment expansion instead of prisons. Overdose deaths and HIV rates among the lowest in Europe. Cited globally as successful alternative."
policy-portugal-model,42,-6,"Portugal (modern borders) — 2001 decriminalization model",#2E7D32,#2E7D3233,""
policy-portugal-model,37,-6,"Portugal (modern borders) — 2001 decriminalization model",#2E7D32,#2E7D3233,""
policy-portugal-model,37,-10,"Portugal (modern borders) — 2001 decriminalization model",#2E7D32,#2E7D3233,""
