line_id,lat,lng,title,color,description
mezcal-indigenous-origin,17.07,-96.72,"LAYER 1 — Historical Trade: Indigenous mezcal origin",#8B4513,"Oaxaca — Zapotec + Mixtec distillation of agave predates Spanish arrival. Traditional clay/copper pot stills still used."
mezcal-indigenous-origin,19.43,-99.13,"LAYER 1 — Historical Trade: Indigenous mezcal origin",#8B4513,"Valley of Mexico — Nahua pulque (fermented aguamiel) predates distilled mezcal by centuries. Sacred drink of Aztec priests."
tequila-jalisco-codification,20.88,-103.84,"LAYER 1 — Historical Trade: Tequila denominación (Jalisco)",#8B4513,"Tequila Jalisco — town gives name to blue agave spirit. 1974 Mexico codifies Tequila DO (Denominación de Origen)."
tequila-jalisco-codification,20.68,-103.35,"LAYER 1 — Historical Trade: Tequila denominación (Jalisco)",#8B4513,"Guadalajara — Jalisco state capital, anchor of the Tequila industry."
tequila-jalisco-codification,17.07,-96.72,"LAYER 1 — Historical Trade: Mezcal DO (Oaxaca + 8 other states)",#8B4513,"Oaxaca — mezcal DO. Protected by Mexican law 1994; now covers 9 states."
tequila-export-boom,32.52,-117.03,"LAYER 1 — Historical Trade: Prohibition → modern export boom",#8B4513,"Tijuana border — US Prohibition (1920–1933) makes Mexico the booze destination; Tequila export begins."
tequila-export-boom,34.05,-118.24,"LAYER 1 — Historical Trade: Prohibition → modern export boom",#8B4513,"Los Angeles — margarita cocktail born in border-town bars 1940s."
tequila-export-boom,40.71,-74.00,"LAYER 1 — Historical Trade: Prohibition → modern export boom",#8B4513,"New York — 2010s premium-agave boom. Tequila becomes $10B+ global category."
tequila-word-diffusion,20.88,-103.84,"LAYER 2 — Language Diffusion: Nahuatl roots",#7B1FA2,"Nahuatl — 'metl' (maguey/agave) + 'mexcalli' (oven-cooked agave) = mezcal."
tequila-word-diffusion,17.07,-96.72,"LAYER 2 — Language Diffusion: Nahuatl roots",#7B1FA2,"Zapotec + Mixtec — each group maintains distinct agave names + fermentation traditions."
tequila-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: Nahuatl roots",#7B1FA2,"Spanish — preserves Nahuatl words 'tequila' + 'mezcal' in global trade."
tequila-modern-supply,20.88,-103.84,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Tequila Jalisco — ~95% of tequila production. Blue agave monoculture has created ecological pressure."
tequila-modern-supply,17.07,-96.72,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Oaxaca — mezcal heartland; 50+ agave species used vs. one for tequila. Mostly small-batch, high-ceremony."
tequila-modern-supply,40.71,-74.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"NYC / LA — US is world's largest tequila market (75% of exports)."
tequila-modern-supply,25.76,-80.19,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Miami — celebrity tequila brands (Casamigos, 818, Teremana) built on US marketing, Jalisco supply."
