polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent Heian imperial Japan, Edo-period shogunates, or pre-Meiji prefecture boundaries."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
japan-origin,45.3,140,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,"Modern political border. Nihonshu (sake) has been brewed in Japan for 2,000+ years. Japan remains the overwhelming origin — over 99% of authentic sake production happens here."
japan-origin,45.3,145,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,""
japan-origin,34,140,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,""
japan-origin,31,130,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,""
japan-origin,34,129,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,""
japan-origin,40,137,"Japan (modern borders) — sake's origin + sole traditional producer",#185FA5,#185FA533,""
niigata-prefecture,38.5,138,"Niigata Prefecture (modern borders) — #1 sake producer by volume",#2E7D32,#2E7D3233,"Modern prefecture border. Niigata produces the most sake by volume + is famous for tanrei-karakuchi (light-dry) style. Cold winters + pure snow-melt water + Gohyakumangoku rice variety."
niigata-prefecture,38.5,140,"Niigata Prefecture (modern borders) — #1 sake producer by volume",#2E7D32,#2E7D3233,""
niigata-prefecture,36.5,140,"Niigata Prefecture (modern borders) — #1 sake producer by volume",#2E7D32,#2E7D3233,""
niigata-prefecture,36.5,138,"Niigata Prefecture (modern borders) — #1 sake producer by volume",#2E7D32,#2E7D3233,""
hyogo-nada,35.5,134,"Hyogo Prefecture / Nada district (modern borders) — #2 sake producer",#2E7D32,#2E7D3233,"Modern prefecture border. Nada's Miyamizu hard water creates bold koji-forward style; Edo-period Taru Kaisen sake ships departed from here to Edo (Tokyo)."
hyogo-nada,35.5,135.5,"Hyogo Prefecture / Nada district (modern borders) — #2 sake producer",#2E7D32,#2E7D3233,""
hyogo-nada,34.5,135.5,"Hyogo Prefecture / Nada district (modern borders) — #2 sake producer",#2E7D32,#2E7D3233,""
hyogo-nada,34.5,134,"Hyogo Prefecture / Nada district (modern borders) — #2 sake producer",#2E7D32,#2E7D3233,""
kyoto-fushimi,35.5,135,"Kyoto Prefecture / Fushimi district (modern borders) — #3 producer",#2E7D32,#2E7D3233,"Modern prefecture border. Fushimi's softer water produces softer, fruitier style. Imperial-court brewing tradition dates to the Engi-shiki (927 CE)."
kyoto-fushimi,35.5,136,"Kyoto Prefecture / Fushimi district (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
kyoto-fushimi,34.5,136,"Kyoto Prefecture / Fushimi district (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
kyoto-fushimi,34.5,135,"Kyoto Prefecture / Fushimi district (modern borders) — #3 producer",#2E7D32,#2E7D3233,""
usa-sake-emerging,49,-125,"USA (modern borders) — emerging craft sake scene",#2E7D32,#2E7D3233,"Modern political border. Small but growing US craft sake breweries (Oregon, California, New York). Non-Japanese-owned breweries challenge the traditional monopoly."
usa-sake-emerging,49,-67,"USA (modern borders) — emerging craft sake scene",#2E7D32,#2E7D3233,""
usa-sake-emerging,30,-81,"USA (modern borders) — emerging craft sake scene",#2E7D32,#2E7D3233,""
usa-sake-emerging,32,-117,"USA (modern borders) — emerging craft sake scene",#2E7D32,#2E7D3233,""
