line_id,lat,lng,title,color,description
wine-caucasus-origin,41.72,44.83,"LAYER 1 — Historical Trade: Caucasus origin",#8B4513,"Georgia (country) — 8,000-year-old qvevri wine vessels at Gadachrili Gora make this the oldest documented wine region on Earth (McGovern 2017)."
wine-caucasus-origin,40.18,44.51,"LAYER 1 — Historical Trade: Caucasus origin",#8B4513,"Armenia — Areni-1 cave winery ~4,100 BCE."
wine-mediterranean-spread,37.98,23.72,"LAYER 1 — Historical Trade: Greek + Roman Mediterranean spread",#8B4513,"Athens — Greek wine culture: symposia, Dionysus, vase trade routes."
wine-mediterranean-spread,41.90,12.50,"LAYER 1 — Historical Trade: Greek + Roman Mediterranean spread",#8B4513,"Rome — Roman viticulture spreads wine across entire empire; Falernian, Caecuban wines documented in Pliny."
wine-mediterranean-spread,44.84,-0.58,"LAYER 1 — Historical Trade: Greek + Roman Mediterranean spread",#8B4513,"Bordeaux France — Roman plantings ~1st century CE; medieval English-French wine trade makes Bordeaux the world's wine port."
wine-mediterranean-spread,37.39,-5.98,"LAYER 1 — Historical Trade: Greek + Roman Mediterranean spread",#8B4513,"Andalusia — Phoenician then Roman vineyards. Sherry (Jerez) trade to England anchors the modern fortified wine industry."
wine-new-world,-34.61,-58.38,"LAYER 1 — Historical Trade: New World wine transplant",#8B4513,"Buenos Aires → Mendoza — Spanish missionaries bring grapevines 16th century. Argentina now #5 wine producer."
wine-new-world,-33.44,-70.66,"LAYER 1 — Historical Trade: New World wine transplant",#8B4513,"Central Chile — phylloxera-free soils preserved pre-phylloxera European vines."
wine-new-world,-33.92,18.42,"LAYER 1 — Historical Trade: New World wine transplant",#8B4513,"Cape Town South Africa — 1659 Dutch settlers plant Groot Constantia; oldest New World wine region."
wine-new-world,-34.93,138.60,"LAYER 1 — Historical Trade: New World wine transplant",#8B4513,"Adelaide Australia — Barossa Valley, McLaren Vale. Largest Southern Hemisphere wine producer."
wine-new-world,38.30,-122.46,"LAYER 1 — Historical Trade: New World wine transplant",#8B4513,"Napa Valley California — 1976 Judgment of Paris blind tasting shocks the wine world."
wine-word-diffusion,41.72,44.83,"LAYER 2 — Language Diffusion: wine word roots",#7B1FA2,"Georgian — 'ghvino' — one of the oldest attested wine words."
wine-word-diffusion,37.98,23.72,"LAYER 2 — Language Diffusion: wine word roots",#7B1FA2,"Greek — 'oinos' (οἶνος). Parent of all Romance + Germanic wine words."
wine-word-diffusion,41.90,12.50,"LAYER 2 — Language Diffusion: wine word roots",#7B1FA2,"Latin — 'vinum'. Ancestor of vino/vin/vine/wine across 200+ modern languages."
wine-word-diffusion,48.86,2.35,"LAYER 2 — Language Diffusion: wine word roots",#7B1FA2,"French — 'vin'."
wine-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: wine word roots",#7B1FA2,"English — 'wine'. Germanic path but ultimately from Latin 'vinum'."
wine-modern-supply,41.90,12.50,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Italy — world's #1 wine producer by volume (~50M hL/year)."
wine-modern-supply,46.60,1.89,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"France — #2 by volume, #1 by value (Bordeaux, Burgundy, Champagne)."
wine-modern-supply,40.42,-3.70,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Spain — #3 by volume, #1 by vineyard area."
wine-modern-supply,38.30,-122.46,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Napa / Sonoma — California is ~90% of US wine production."
