line_id,lat,lng,title,color,description
kava-origin-vanuatu,-19.53,169.52,"LAYER 1 — Historical Trade: Kava's Vanuatu origin",#8B4513,"Tanna Vanuatu — kava's documented centre of origin ~3,000 years ago. Piper methysticum was selected by Ni-Vanuatu cultivators over millennia."
kava-origin-vanuatu,-17.74,168.32,"LAYER 1 — Historical Trade: Kava's Vanuatu origin",#8B4513,"Efate Vanuatu — primary nakamal culture. 'Nakamal' is now the pan-Pacific word for the evening kava gathering."
kava-austronesian-migration,-19.53,169.52,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Vanuatu — starting point for one of the longest-range plant migrations in human history."
kava-austronesian-migration,-17.71,178.06,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Fiji — kava becomes 'yaqona' here; tanoa ceremonial bowl is a Fijian invention."
kava-austronesian-migration,-13.83,-171.77,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Samoa — 'ava ceremony integrates with matai chieftaincy and the Fa'a Samoa cultural system."
kava-austronesian-migration,-21.18,-175.20,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Tonga — Tu'i Tonga sacred king ritual. Tongan kava ceremony is one of the most formally codified."
kava-austronesian-migration,-10.86,-165.86,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Tokelau + Cook Islands — kava reached the easternmost extent of its cultural range."
kava-austronesian-migration,19.90,-155.58,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Hawai'i — 'awa (kava) was cultivated widely by kānaka maoli until missionary suppression in the 19th century."
kava-austronesian-migration,-0.78,113.92,"LAYER 1 — Historical Trade: Austronesian migration carries kava east + west",#8B4513,"Indonesia — kava reached as far west as Borneo on the Austronesian migration."
kava-missionary-disruption,-17.74,168.32,"LAYER 1 — Historical Trade: Missionary / colonial suppression",#8B4513,"Vanuatu / New Hebrides — 1800s European missionaries declare kava 'heathen'. Presbyterian and Anglican missions ban it."
kava-missionary-disruption,-13.83,-171.77,"LAYER 1 — Historical Trade: Missionary / colonial suppression",#8B4513,"Samoa — missionaries restrict kava ceremony, but it survives because it's embedded in chiefly governance."
kava-missionary-disruption,19.90,-155.58,"LAYER 1 — Historical Trade: Missionary / colonial suppression",#8B4513,"Hawai'i — aggressive missionary suppression nearly extinguishes 'awa culture; only recent reclamation has revived it."
kava-modern-diaspora,-19.53,169.52,"LAYER 1 — Historical Trade: Modern Pacific diaspora + global export",#8B4513,"Vanuatu today — world's largest producer of noble (ceremonial-grade) kava."
kava-modern-diaspora,-17.71,178.06,"LAYER 1 — Historical Trade: Modern Pacific diaspora + global export",#8B4513,"Fiji — major exporter. Fijian diaspora in Australia and NZ maintains ceremonial tradition."
kava-modern-diaspora,-36.85,174.77,"LAYER 1 — Historical Trade: Modern Pacific diaspora + global export",#8B4513,"Auckland NZ — largest Pacific Islander urban population in the world. Kava bars serve diaspora communities."
kava-modern-diaspora,37.77,-122.42,"LAYER 1 — Historical Trade: Modern Pacific diaspora + global export",#8B4513,"San Francisco Bay — US Pacific Islander diaspora + growing kava bar scene."
kava-modern-diaspora,30.33,-81.66,"LAYER 1 — Historical Trade: Modern Pacific diaspora + global export",#8B4513,"Florida — US kava bar heartland; Jacksonville has the highest density of kava bars in the world outside the Pacific."
kava-word-diffusion,-19.53,169.52,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Tongan — 'kava'. This is the English borrowing-language."
kava-word-diffusion,-17.71,178.06,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Fijian — 'yaqona' (pronounced 'yang-goh-nah'). Entirely distinct from the Tongan word."
kava-word-diffusion,-13.83,-171.77,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Samoan — ''ava'. Same root, different phonology."
kava-word-diffusion,19.90,-155.58,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Hawaiian — ''awa'. Same root as Samoan 'ava; 'k'→'glottal stop' shift."
kava-modern-supply,-19.53,169.52,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Port Vila Vanuatu — largest noble kava exporter."
kava-modern-supply,-17.71,178.06,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Suva Fiji — second-largest exporter."
kava-modern-supply,-33.86,151.21,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Sydney Australia — Pacific Islander diaspora import hub."
kava-modern-supply,30.33,-81.66,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Jacksonville FL — global centre of non-diaspora kava bar culture."
kava-modern-supply,52.37,4.90,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Amsterdam — 2002 EU ban on kava (later partially lifted) collapsed the European market for a decade. Farmers hit hardest in Vanuatu (Lebot et al. 2015)."
