line_id,lat,lng,title,color,description
whiskey-celtic-origin,56.49,-4.20,"LAYER 1 — Historical Trade: Gaelic origin",#8B4513,"Highland Scotland — 'uisge beatha' (water of life). Earliest documented distilling records 1494 Exchequer Rolls: 'To friar John Cor, eight bolls of malt...to make aqua vitae'."
whiskey-celtic-origin,53.35,-6.26,"LAYER 1 — Historical Trade: Gaelic origin",#8B4513,"Ireland — competing origin claim. 'Uisce beatha' same meaning. Pot-still Irish tradition."
whiskey-atlantic-diaspora,54.36,-8.80,"LAYER 1 — Historical Trade: Scots-Irish migration to America",#8B4513,"Ulster — Scots-Irish emigration 18th century carries distilling to America."
whiskey-atlantic-diaspora,40.43,-79.99,"LAYER 1 — Historical Trade: Scots-Irish migration to America",#8B4513,"Pittsburgh PA — Whiskey Rebellion 1791–1794. Washington leads federal army against western farmers resisting distillation tax."
whiskey-atlantic-diaspora,38.20,-85.75,"LAYER 1 — Historical Trade: Scots-Irish migration to America",#8B4513,"Louisville / Bardstown KY — Bourbon heartland. Limestone water + corn + new charred oak casks create Bourbon character."
whiskey-atlantic-diaspora,35.60,-87.37,"LAYER 1 — Historical Trade: Scots-Irish migration to America",#8B4513,"Lynchburg TN — Jack Daniel's Tennessee whiskey. Nearest Green (enslaved Black distiller) teaches Jack Daniel the charcoal mellowing process."
whiskey-japanese-heritage,35.68,139.77,"LAYER 1 — Historical Trade: Japanese whiskey lineage",#8B4513,"Tokyo — Masataka Taketsuru studies Scottish whisky 1918–1920, returns to build Yamazaki (1923) + Nikka (1934)."
whiskey-japanese-heritage,35.01,135.68,"LAYER 1 — Historical Trade: Japanese whiskey lineage",#8B4513,"Yamazaki (Kyoto prefecture) — Japan's first malt whisky distillery (Suntory)."
whiskey-word-diffusion,56.49,-4.20,"LAYER 2 — Language Diffusion: uisge beatha → whiskey",#7B1FA2,"Scots Gaelic — 'uisge beatha' literally 'water of life'."
whiskey-word-diffusion,53.35,-6.26,"LAYER 2 — Language Diffusion: uisge beatha → whiskey",#7B1FA2,"Irish Gaelic — 'uisce beatha'. Same meaning."
whiskey-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: uisge beatha → whiskey",#7B1FA2,"English — 'whiskey' / 'whisky'. Scottish + Japanese + Canadian spell without 'e'; Irish + American spell with 'e'."
whiskey-modern-supply,56.49,-4.20,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Scotland — 135+ active distilleries. Scotch exports £6B/year, 10,000+ jobs."
whiskey-modern-supply,38.20,-85.75,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Kentucky — 95% of world Bourbon. $9B industry, 22,000 jobs."
whiskey-modern-supply,35.68,139.77,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Japan — premium world-class whisky. Yamazaki 50-year bottle set auction record $795,000 in 2020."
whiskey-modern-supply,44.65,-63.57,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Canada — rye whisky tradition; Crown Royal is global."
whiskey-modern-supply,20.59,78.96,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"India — world's largest whisky market by volume (though 'Indian Malt Whisky' often contains cheaper spirit bases)."
