polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent Gaelic-speaking regions, colonial Virginia/Kentucky, pre-Meiji Japan, or historical British Empire trade zones."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
scotland-ireland,60,-9,"Scotland + Ireland (modern borders) — whisky origin",#185FA5,#185FA533,"Modern political borders (Ireland post-1922). Scottish 'uisge beatha' + Irish 'uisce beatha' are the origin languages. 1494 Scottish Exchequer Rolls are the oldest written whisky record. Scotch whisky + Irish whiskey are distinct protected designations."
scotland-ireland,60,-3,"Scotland + Ireland (modern borders) — whisky origin",#185FA5,#185FA533,""
scotland-ireland,51,-5,"Scotland + Ireland (modern borders) — whisky origin",#185FA5,#185FA533,""
scotland-ireland,51,-10,"Scotland + Ireland (modern borders) — whisky origin",#185FA5,#185FA533,""
usa-bourbon-belt,37,-91,"USA / Kentucky + Tennessee (modern borders) — Bourbon belt",#2E7D32,#2E7D3233,"Modern political border. 95% of world Bourbon made in Kentucky — limestone-filtered water + corn + new charred oak. Tennessee whiskey uses additional charcoal mellowing (Lincoln County Process) taught by enslaved distiller Nearest Green to Jack Daniel."
usa-bourbon-belt,37,-82,"USA / Kentucky + Tennessee (modern borders) — Bourbon belt",#2E7D32,#2E7D3233,""
usa-bourbon-belt,35,-82,"USA / Kentucky + Tennessee (modern borders) — Bourbon belt",#2E7D32,#2E7D3233,""
usa-bourbon-belt,35,-90,"USA / Kentucky + Tennessee (modern borders) — Bourbon belt",#2E7D32,#2E7D3233,""
japan-whisky,45,140,"Japan (modern borders) — world-class premium whisky",#2E7D32,#2E7D3233,"Modern political border. Masataka Taketsuru's 1918–1920 apprenticeship in Scotland seeded Yamazaki (1923) + Nikka (1934). Japanese whisky now commands highest auction prices globally."
japan-whisky,45,145,"Japan (modern borders) — world-class premium whisky",#2E7D32,#2E7D3233,""
japan-whisky,34,140,"Japan (modern borders) — world-class premium whisky",#2E7D32,#2E7D3233,""
japan-whisky,31,130,"Japan (modern borders) — world-class premium whisky",#2E7D32,#2E7D3233,""
japan-whisky,40,137,"Japan (modern borders) — world-class premium whisky",#2E7D32,#2E7D3233,""
canada-whisky,60,-140,"Canada (modern borders) — rye tradition",#2E7D32,#2E7D3233,"Modern political border. Canadian whisky tradition centres on rye. Crown Royal is the largest-volume North American whisky brand."
canada-whisky,60,-60,"Canada (modern borders) — rye tradition",#2E7D32,#2E7D3233,""
canada-whisky,44,-60,"Canada (modern borders) — rye tradition",#2E7D32,#2E7D3233,""
canada-whisky,44,-124,"Canada (modern borders) — rye tradition",#2E7D32,#2E7D3233,""
india-whisky,35,75,"India (modern borders) — world's largest whisky market by volume",#2E7D32,#2E7D3233,"Modern political border. India consumes more bottles of whisky than any country — but much is molasses-based spirit labelled 'IMFL' (Indian Made Foreign Liquor), distinct from Scotch/Irish/American malt definitions."
india-whisky,28,92,"India (modern borders) — world's largest whisky market by volume",#2E7D32,#2E7D3233,""
india-whisky,10,78,"India (modern borders) — world's largest whisky market by volume",#2E7D32,#2E7D3233,""
india-whisky,8,77,"India (modern borders) — world's largest whisky market by volume",#2E7D32,#2E7D3233,""
india-whisky,22,68,"India (modern borders) — world's largest whisky market by volume",#2E7D32,#2E7D3233,""
