polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. The Andean coca homeland pre-dates modern Colombia + Peru + Bolivia by millennia — Quechua and Aymara peoples lived across these highlands long before the Spanish viceroyalties or post-independence nation-states existed."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
bolivia-traditional,-11,-69,"Bolivia (modern borders) — traditional + legal coca heartland",#993C1D,#993C1D33,"Modern political border. Evo Morales' 2009 constitution made coca chewing explicitly legal. Bolivia successfully negotiated a UN reservation in 2013 removing coca chewing from the 1961 Single Convention's prohibition."
bolivia-traditional,-11,-58,"Bolivia (modern borders) — traditional + legal coca heartland",#993C1D,#993C1D33,""
bolivia-traditional,-22,-58,"Bolivia (modern borders) — traditional + legal coca heartland",#993C1D,#993C1D33,""
bolivia-traditional,-22,-69,"Bolivia (modern borders) — traditional + legal coca heartland",#993C1D,#993C1D33,""
peru-vraem-huallaga,-4,-81,"Peru (modern borders) — VRAEM + Huallaga illicit cultivation",#2E7D32,#2E7D3233,"Modern political border. VRAEM (Valley of the Apurímac, Ene, Mantaro rivers) + Huallaga valley produce most illicit coca. Traditional chewing remains culturally legal but production for cocaine is criminalized."
peru-vraem-huallaga,0,-76,"Peru (modern borders) — VRAEM + Huallaga illicit cultivation",#2E7D32,#2E7D3233,""
peru-vraem-huallaga,-18,-70,"Peru (modern borders) — VRAEM + Huallaga illicit cultivation",#2E7D32,#2E7D3233,""
peru-vraem-huallaga,-18,-72,"Peru (modern borders) — VRAEM + Huallaga illicit cultivation",#2E7D32,#2E7D3233,""
peru-vraem-huallaga,-4,-81,"Peru (modern borders) — VRAEM + Huallaga illicit cultivation",#2E7D32,#2E7D3233,""
colombia-largest-producer,12,-72,"Colombia (modern borders) — world's largest cocaine supplier",#993C1D,#993C1D33,"Modern political border. Catatumbo, Nariño, Cauca, Putumayo anchor production. Despite Plan Colombia + $10B+ US aid + aerial fumigation, Colombia remains the top global supplier. 2016 FARC peace deal changed armed-conflict landscape but not production."
colombia-largest-producer,11,-70,"Colombia (modern borders) — world's largest cocaine supplier",#993C1D,#993C1D33,""
colombia-largest-producer,-4,-67,"Colombia (modern borders) — world's largest cocaine supplier",#993C1D,#993C1D33,""
colombia-largest-producer,-4,-79,"Colombia (modern borders) — world's largest cocaine supplier",#993C1D,#993C1D33,""
colombia-largest-producer,8,-78,"Colombia (modern borders) — world's largest cocaine supplier",#993C1D,#993C1D33,""
usa-consumer-market,25,-125,"USA (modern borders) — world's largest consumer market",#2E7D32,#2E7D3233,"Modern political border. US is the #1 cocaine consumer market. Miami is the primary entry via Caribbean + Central American routes; Los Angeles via Mexico. Disproportionate Drug War enforcement has devastated Black + Latino communities (Alexander 'The New Jim Crow')."
usa-consumer-market,49,-67,"USA (modern borders) — world's largest consumer market",#2E7D32,#2E7D3233,""
usa-consumer-market,49,-125,"USA (modern borders) — world's largest consumer market",#2E7D32,#2E7D3233,""
usa-consumer-market,25,-81,"USA (modern borders) — world's largest consumer market",#2E7D32,#2E7D3233,""
europe-market,71,-10,"Europe (modern borders) — growing consumer market",#2E7D32,#2E7D3233,"Modern political borders. European cocaine market has grown massively since 2015; Antwerp + Rotterdam container ports are main entry points. Netherlands + Belgium report record cocaine seizures year after year."
europe-market,71,40,"Europe (modern borders) — growing consumer market",#2E7D32,#2E7D3233,""
europe-market,36,40,"Europe (modern borders) — growing consumer market",#2E7D32,#2E7D3233,""
europe-market,36,-10,"Europe (modern borders) — growing consumer market",#2E7D32,#2E7D3233,""
