line_id,lat,lng,title,color,description
cannabis-central-asia-origin,35.00,65.00,"LAYER 1 — Historical Trade: Central Asian origin",#8B4513,"Hindu Kush / Pamir region — Cannabis sativa + indica evolved here. Earliest archaeological evidence of ritual cannabis use (~500 BCE, Pazyryk burials)."
cannabis-central-asia-origin,35.69,51.39,"LAYER 1 — Historical Trade: Central Asian origin",#8B4513,"Persia — Zoroastrian and Scythian ritual use; Herodotus 'Histories' (440 BCE) documents Scythian hemp-smoke bathing."
cannabis-silk-road,35.00,65.00,"LAYER 1 — Historical Trade: Silk Road + Middle Eastern spread",#8B4513,"Afghanistan — hashish production ancestor to modern Middle Eastern + North African concentrates."
cannabis-silk-road,31.77,-7.08,"LAYER 1 — Historical Trade: Silk Road + Middle Eastern spread",#8B4513,"Morocco Rif Mountains — 15th-century hashish production; 19th century French colonial formalization."
cannabis-silk-road,28.61,77.20,"LAYER 1 — Historical Trade: Silk Road + Middle Eastern spread",#8B4513,"India — bhang documented in Atharva Veda (~1500 BCE); Shiva lore. Cannabis sacramental through Hindu tradition."
cannabis-colonial-diffusion,18.54,-72.34,"LAYER 1 — Historical Trade: Colonial + enslaved diffusion to Americas",#8B4513,"Caribbean — enslaved Africans + indentured Indians bring cannabis culture to plantations 1800s."
cannabis-colonial-diffusion,18.11,-77.30,"LAYER 1 — Historical Trade: Colonial + enslaved diffusion to Americas",#8B4513,"Jamaica — Indian indentured labour (post-1838 abolition) seeds Rastafari cannabis sacrament. Ganja becomes central religious practice."
cannabis-colonial-diffusion,19.43,-99.13,"LAYER 1 — Historical Trade: Colonial + enslaved diffusion to Americas",#8B4513,"Mexico — cannabis arrives via Spanish hemp imports; becomes associated with Mexican labourers in early 20th-century US racial panic."
cannabis-prohibition,38.91,-77.03,"LAYER 1 — Historical Trade: US Prohibition + global drug war",#8B4513,"Washington DC — 1937 Marihuana Tax Act (Harry Anslinger). 1970 Controlled Substances Act Schedule I."
cannabis-prohibition,-7.30,112.77,"LAYER 1 — Historical Trade: US Prohibition + global drug war",#8B4513,"Indonesia — Dutch colonial + later US-influenced criminalization; death penalty for trafficking."
cannabis-prohibition,35.21,-80.84,"LAYER 1 — Historical Trade: US Prohibition + global drug war",#8B4513,"US South — drug war enforcement falls disproportionately on Black + Latino communities (Alexander 'The New Jim Crow' 2010)."
cannabis-legalization,50.08,14.44,"LAYER 1 — Historical Trade: Modern legalization wave",#8B4513,"Prague — Czechia decriminalized 2010."
cannabis-legalization,45.42,-75.70,"LAYER 1 — Historical Trade: Modern legalization wave",#8B4513,"Ottawa — Canada legalized recreational cannabis nationally in 2018."
cannabis-legalization,37.77,-122.42,"LAYER 1 — Historical Trade: Modern legalization wave",#8B4513,"California — 1996 Prop 215 first US medical legalization. 2016 Prop 64 recreational."
cannabis-legalization,52.52,13.41,"LAYER 1 — Historical Trade: Modern legalization wave",#8B4513,"Berlin — Germany legalized recreational cannabis in 2024."
cannabis-word-diffusion,28.61,77.20,"LAYER 2 — Language Diffusion: cannabis / ganja / weed",#7B1FA2,"Sanskrit — 'bhanga' (बङ्ग). Ancient root of 'bhang' drinkable cannabis preparation."
cannabis-word-diffusion,18.11,-77.30,"LAYER 2 — Language Diffusion: cannabis / ganja / weed",#7B1FA2,"Jamaican Patois — 'ganja' (from Sanskrit + Hindi 'ganja' meaning hemp resin)."
cannabis-word-diffusion,35.69,51.39,"LAYER 2 — Language Diffusion: cannabis / ganja / weed",#7B1FA2,"Arabic — 'ḥashīsh' meaning 'grass/herb'. Source of English 'hashish'."
cannabis-word-diffusion,41.90,12.50,"LAYER 2 — Language Diffusion: cannabis / ganja / weed",#7B1FA2,"Latin — 'cannabis' (from Greek 'kannabis', from proto-Iranian). Global scientific name."
cannabis-modern-supply,35.00,65.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Afghanistan — still a major illicit hashish producer."
cannabis-modern-supply,31.77,-7.08,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Morocco Rif — largest hashish exporter to Europe."
cannabis-modern-supply,-20.00,-55.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"South America — Paraguay is major illicit supplier to Brazil + Southern Cone."
cannabis-modern-supply,37.77,-122.42,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"California — legal market ~$5B/year; Mexican cartels still control illicit supply across border."
cannabis-modern-supply,45.42,-75.70,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Canada — legal market ~$4B/year, exports to Germany + Israel + Australia."
