line_id,lat,lng,title,color,description
peyote-chihuahuan-origin,26.03,-103.56,"LAYER 1 — Historical Trade: Chihuahuan Desert peyote origin",#8B4513,"Coahuila Mexico — Huichol (Wixáritari) pilgrimage route to Wirikuta sacred site. Lophophora williamsii grows only in this specific desert ecosystem."
peyote-chihuahuan-origin,22.15,-100.97,"LAYER 1 — Historical Trade: Chihuahuan Desert peyote origin",#8B4513,"San Luis Potosí — Wirikuta UNESCO-recognized Huichol sacred territory."
peyote-chihuahuan-origin,26.70,-99.49,"LAYER 1 — Historical Trade: Chihuahuan Desert peyote origin",#8B4513,"South Texas — Native American Church peyote gardens; legal harvest continues under federal exemption."
ayahuasca-amazon,-3.12,-60.02,"LAYER 1 — Historical Trade: Amazonian ayahuasca",#8B4513,"Manaus Brazil — Indigenous ayahuasca traditions (Shipibo, Yawanawa, Yaminawa + dozens more peoples)."
ayahuasca-amazon,-12.07,-77.04,"LAYER 1 — Historical Trade: Amazonian ayahuasca",#8B4513,"Iquitos Peru — modern ayahuasca tourism hub; ~$200M/year industry raises ethical questions about extractive 'plant medicine' markets."
psilocybin-oaxaca,17.07,-96.72,"LAYER 1 — Historical Trade: Mesoamerican psilocybin mushrooms",#8B4513,"Oaxaca — Mazatec María Sabina's velada ceremony. 1955 Life magazine article + R. Gordon Wasson's visit triggers Western psychedelic awareness."
mdma-lsd-labs,47.56,7.59,"LAYER 1 — Historical Trade: 20th-century synthetic psychedelics",#8B4513,"Basel Switzerland — 1938 Albert Hofmann (Sandoz) synthesizes LSD. 1943 Bicycle Day."
mdma-lsd-labs,52.37,4.90,"LAYER 1 — Historical Trade: 20th-century synthetic psychedelics",#8B4513,"Amsterdam — MDMA + psychedelics tolerated in coffeeshop / smart-shop model."
mdma-lsd-labs,38.91,-77.03,"LAYER 1 — Historical Trade: 20th-century synthetic psychedelics",#8B4513,"Washington DC — 1970 Controlled Substances Act Schedule I. 1985 MDMA emergency ban. 2024 FDA rejects MDMA-PTSD approval."
modern-renaissance,42.36,-71.05,"LAYER 1 — Historical Trade: Psychedelic Renaissance research",#8B4513,"Harvard / Timothy Leary 1960s → Johns Hopkins (Roland Griffiths) 2006+ → MAPS clinical trials → 2023–24 breakthrough therapies."
modern-renaissance,39.29,-76.61,"LAYER 1 — Historical Trade: Psychedelic Renaissance research",#8B4513,"Johns Hopkins — Center for Psychedelic and Consciousness Research opens 2019."
modern-renaissance,45.52,-122.67,"LAYER 1 — Historical Trade: Psychedelic Renaissance research",#8B4513,"Portland Oregon — 2020 Measure 109 first legal US psilocybin services. 2023 clinics opened."
psychedelics-word-diffusion,19.43,-99.13,"LAYER 2 — Language Diffusion: Indigenous + scientific names",#7B1FA2,"Nahuatl — 'peyotl' → Spanish 'peyote' → English 'peyote'."
psychedelics-word-diffusion,-3.12,-60.02,"LAYER 2 — Language Diffusion: Indigenous + scientific names",#7B1FA2,"Quechua — 'ayahuasca' = 'vine of the soul'. Preserved unchanged in all languages."
psychedelics-word-diffusion,17.07,-96.72,"LAYER 2 — Language Diffusion: Indigenous + scientific names",#7B1FA2,"Mazatec — 'ki-tʃo-ki' (children, referring to mushrooms). Replaced in English by Greek 'psilocybe'."
psychedelics-modern-supply,45.52,-122.67,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Oregon + Colorado — legal psilocybin programs (medical + service settings)."
psychedelics-modern-supply,37.77,-122.42,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"California — decriminalized plant medicines in several cities."
psychedelics-modern-supply,52.37,4.90,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Netherlands — smart-shop magic truffles, legal grey zone."
psychedelics-modern-supply,-12.07,-77.04,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Peru — ayahuasca retreat tourism, $200M+ annual industry."
