polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All the coloured regions on this map are MODERN country borders (post-1945). They do NOT represent historical empires (Ottoman, British), colonial territories (Saint-Domingue, Dutch East Indies), or pre-modern geography. The borders are shown to orient students to where coffee is produced today. For historical boundaries, consult Episode 1 primary sources (Women's Petition 1674, Royal Proclamation 1675, Topik & Clarence-Smith 2003)."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
ethiopia-modern,14.5,36.5,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,"Modern political border (post-1991). ORIGIN of coffee — Kaffa forest highlands. 421,000 tonnes/year, ~4% of global production, 100% Arabica. Wild coffee genetic diversity is irreplaceable for climate adaptation breeding (Davis et al., 2012)."
ethiopia-modern,14.8,41.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,11.0,43.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,7.0,45.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,4.3,42.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,4.7,37.5,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,6.5,35.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,9.5,34.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
ethiopia-modern,12.5,35.0,"Ethiopia (modern borders) — origin + producer",#B8860B,#B8860B33,""
yemen-modern,18.0,43.0,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,"Modern political border (post-1990 unification). First commercial coffee trade hub — Mocha (Al-Mukha) was the original port. Sufi scholars spread coffee through the Ottoman world from here."
yemen-modern,17.3,46.5,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,""
yemen-modern,19.0,52.0,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,""
yemen-modern,16.5,53.1,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,""
yemen-modern,12.6,54.0,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,""
yemen-modern,13.0,43.5,"Yemen (modern borders) — first trade hub",#B8860B,#B8860B33,""
brazil-modern,-2,-50,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,"Modern political border. 38% of world coffee, 2.6–3.8 M tonnes/year, grown between 600–1,300 m on the SE plateau. Both Arabica and Robusta. History built on enslaved labour until 1888 abolition; 2024 drought pushed prices up 70% (Rabobank)."
brazil-modern,-4,-38,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-15,-38,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-23,-41,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-26,-48,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-30,-53,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-22,-57,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-10,-70,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,-5,-73,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,0,-67,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
brazil-modern,5,-60,"Brazil (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
colombia-modern,12,-72,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,"Modern political border. 760,000 tonnes/year, ~8% of world coffee, grown across three Andean ranges at 1,200–2,000 m. Federación Nacional de Cafeteros organizes 540,000 smallholder producers."
colombia-modern,11,-74,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,7,-77,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,2,-79,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,-4,-75,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,-2,-70,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,2,-67,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,6,-67,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
colombia-modern,12,-71,"Colombia (modern borders) — 100% Arabica",#2E7D32,#2E7D3233,""
vietnam-modern,23,105,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,"Modern political border. 1.5–2 M tonnes/year, 17.7% of world coffee — went from almost zero in the 1970s to largest Robusta producer. Central Highlands volcanic basalt at 500–800 m."
vietnam-modern,22,106,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,21,108,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,16,108,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,11,109,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,9,105,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,12,106,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,15,108,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
vietnam-modern,19,105,"Vietnam (modern borders) — world's Robusta leader",#2E7D32,#2E7D3233,""
indonesia-sumatra,6,95,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,"Modern political border (post-1945). Part of Indonesia's 668,000 tonnes/year across Sumatra, Java, Sulawesi. Dutch colonial Cultuurstelsel system forced cultivation until 1870."
indonesia-sumatra,6,99,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,""
indonesia-sumatra,-2,104,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,""
indonesia-sumatra,-6,106,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,""
indonesia-sumatra,-5,100,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,""
indonesia-sumatra,2,97,"Indonesia / Sumatra (modern borders)",#2E7D32,#2E7D3233,""
indonesia-java-sulawesi,-5,106,"Indonesia / Java + Sulawesi (modern borders)",#2E7D32,#2E7D3233,"Modern political border. Island-by-island flavor profiles — same species, radically different results based on soil and microclimate."
indonesia-java-sulawesi,-5,115,"Indonesia / Java + Sulawesi (modern borders)",#2E7D32,#2E7D3233,""
indonesia-java-sulawesi,-9,121,"Indonesia / Java + Sulawesi (modern borders)",#2E7D32,#2E7D3233,""
indonesia-java-sulawesi,-9,110,"Indonesia / Java + Sulawesi (modern borders)",#2E7D32,#2E7D3233,""
indonesia-java-sulawesi,-8,106,"Indonesia / Java + Sulawesi (modern borders)",#2E7D32,#2E7D3233,""
central-america-modern,18,-92,"Central America (modern borders) — Guatemala/Honduras/Nicaragua/El Salvador",#2E7D32,#2E7D3233,"Modern political borders (post-1821 independence from Spain). Highland coffee belt — specialty Arabica at 1,000–2,000 m. Fair-trade and direct-trade movements concentrated here."
central-america-modern,17,-89,"Central America (modern borders) — Guatemala/Honduras/Nicaragua/El Salvador",#2E7D32,#2E7D3233,""
