term,phonetic,definition,lesson_title
Arabica,ah-RAB-ih-kah,"Coffee species producing ~70% of global production. Narrow climate requirements: 15–24°C, 1,500–2,000mm rainfall, 800–2,000m elevation, no frost tolerance.",Geography — Where Coffee Grows
Robusta,roh-BUS-tah,"Coffee species producing ~30% of global production. More tolerant of heat and disease than Arabica; grown at 200–800m elevation.",Geography — Where Coffee Grows
Coffee Belt,,"Equatorial band (25°N to 30°S latitude) where coffee grows commercially. Covers 81 producing countries across three continents.",Geography — Where Coffee Grows
Terroir,teh-RWAHR,"French term for how geography, climate, and soil express themselves in a crop's flavor. Applied to coffee, wine, tea, chocolate.",Geography — Where Coffee Grows
Agroforestry,AG-roh-FOR-uh-stree,"Growing coffee under shade-tree canopy. Supports biodiversity, soil health, and climate resilience.",Geography — Where Coffee Grows
Buna,BOO-nah,"Amharic word meaning both 'coffee' and 'the Ethiopian coffee ceremony'. The ceremony has three rounds: abol, tona, baraka.",ELA — Stories in Every Cup
Abol,ah-BOHL,"First round of the Ethiopian Buna ceremony. Strongest brew; narratively represents initial encounter or rising action.",ELA — Stories in Every Cup
Tona,TOH-nah,"Second round of the Ethiopian Buna ceremony. Medium strength; represents deepening relationship or development.",ELA — Stories in Every Cup
Baraka,bah-RAH-kah,"Third round of the Ethiopian Buna ceremony. Lightest brew; represents blessing, departure, and peace. Also means 'blessing' in Amharic.",ELA — Stories in Every Cup
Qahwa,KAH-wah,"Arabic word for coffee. Originally meant 'wine'. Traveled through Turkish ('kahve'), Italian ('caffè'), and into English.",ELA — Stories in Every Cup
Al-Mukha,al-MUK-hah,"Yemeni port city where coffee first entered international trade. Gave the world the word 'mocha'.",Social Studies — The Coffeehouse Revolution
Sufi,SOO-fee,"Islamic mystical tradition. 15th-century Sufi monks in Yemen were among coffee's earliest documented users; used it to sustain long prayer.",Social Studies — The Coffeehouse Revolution
Public sphere,,"Spaces where citizens debate ideas outside government control. Coffeehouses were arguably Europe's first public spheres.",Social Studies — The Coffeehouse Revolution
Penny Universities,,"Nickname for 17th–18th century English coffeehouses — one penny admission gave you access to the conversations and debates of the day.",Social Studies — The Coffeehouse Revolution
Cultuurstelsel,kul-TOOR-stel-sul,"Dutch colonial forced-cultivation system in Java (1696–1870s). Required farmers to dedicate portion of land to export crops including coffee.",Social Studies — The Coffeehouse Revolution
Price elasticity,,"How demand for a good changes when its price changes. Coffee has INELASTIC demand — a 70% price increase barely reduced consumption in 2024.",Economics — Follow the Money
Local multiplier effect,,"Fraction of revenue that recirculates within the local economy. Local cafés: ~68%. Chains: ~43%. (AMIBA, 2023).",Economics — Follow the Money
Fair Trade,,"Certification system ensuring minimum prices ($1.60/lb floor + $0.20/lb premium), direct producer payments, and labor standards.",Economics — Follow the Money
Direct trade,,"Relationship-based sourcing model where roasters buy directly from farms, often at multi-year commitments and higher prices ($3.50–6.00/lb).",Economics — Follow the Money
Commodity coffee,,"Bulk green coffee traded on futures markets (the 'C-Market'). Price-driven, quality-optional, farmer-exposed to global volatility.",Economics — Follow the Money
Supply chain,,"Network of stages moving a product from source to consumer. Coffee: farm → export → import → roaster → retail → cup.",Economics — Follow the Money
