line_id,lat,lng,title,color,description
rum-caribbean-origin,13.19,-59.54,"LAYER 1 — Historical Trade: Barbados origin",#8B4513,"Barbados 1640s — rum (kill-devil) first distilled from sugar-molasses byproduct on British sugar plantations. Built on enslaved labour."
rum-caribbean-origin,18.11,-77.30,"LAYER 1 — Historical Trade: Barbados origin",#8B4513,"Jamaica — high-ester funky rum style emerges. Appleton Estate oldest running distillery 1749."
rum-caribbean-origin,18.47,-66.10,"LAYER 1 — Historical Trade: Barbados origin",#8B4513,"Puerto Rico — Bacardí moves here from Cuba after 1959 revolution. Today the world's #1 rum brand."
rum-triangle-trade,42.36,-71.05,"LAYER 1 — Historical Trade: New England rum + slave triangle",#8B4513,"Boston — 150+ rum distilleries by 1750. Rum → West Africa → enslaved people → Caribbean → molasses → Boston."
rum-triangle-trade,8.48,-13.23,"LAYER 1 — Historical Trade: New England rum + slave triangle",#8B4513,"West African coast — enslaved Africans exchanged for rum, among other goods."
rum-triangle-trade,13.19,-59.54,"LAYER 1 — Historical Trade: New England rum + slave triangle",#8B4513,"Caribbean sugar islands — forced labour cycle continues."
rum-naval-grog,51.51,-0.13,"LAYER 1 — Historical Trade: Royal Navy grog ration (1655–1970)",#8B4513,"London — Royal Navy grog ration (rum + water + citrus) daily for 315 years. Ended 'Black Tot Day' 31 July 1970."
rum-naval-grog,13.10,-59.62,"LAYER 1 — Historical Trade: Royal Navy grog ration (1655–1970)",#8B4513,"Bridgetown Barbados — main naval supply port in the Caribbean."
rum-word-diffusion,13.19,-59.54,"LAYER 2 — Language Diffusion: rum etymology",#7B1FA2,"English 'rum' — possibly from 'rumbullion' (17th-century slang for a tumult / riot) or from 'saccharum' (Latin for sugar)."
rum-word-diffusion,48.86,2.35,"LAYER 2 — Language Diffusion: rum etymology",#7B1FA2,"French — 'rhum' (French-Caribbean agricole tradition, Martinique)."
rum-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: rum etymology",#7B1FA2,"Spanish — 'ron'."
rum-word-diffusion,-22.91,-43.17,"LAYER 2 — Language Diffusion: rum etymology",#7B1FA2,"Brazilian Portuguese — 'cachaça' is the Brazilian cane spirit, legally distinct from rum."
rum-modern-supply,18.47,-66.10,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Puerto Rico — 70% of all rum sold in the US is Puerto Rican (Bacardí)."
rum-modern-supply,-22.91,-43.17,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Brazil — cachaça production is massive (~1.4B litres/year) but ~99% consumed domestically."
rum-modern-supply,18.11,-77.30,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Jamaica — premium ester-heavy rum, export focus."
rum-modern-supply,14.64,-61.02,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Martinique — Rhum Agricole AOC (only cane-juice-based rum with legal appellation)."
