polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent Wixárika (Huichol), Shipibo, Mazatec, or other Indigenous sovereignties whose sacred territories pre-date colonial and post-colonial states."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
chihuahuan-peyote,32,-107,"Chihuahuan Desert (modern Mexican states + Texas)",#993C1D,#993C1D33,"Modern political borders. Wixárika / Huichol sacred territory (Wirikuta) spans Coahuila, San Luis Potosí, Zacatecas, Durango, + south Texas. The desert ecosystem is peyote's ONLY habitat — cannot be farmed elsewhere, cannot survive habitat destruction."
chihuahuan-peyote,32,-100,"Chihuahuan Desert (modern Mexican states + Texas)",#993C1D,#993C1D33,""
chihuahuan-peyote,22,-99,"Chihuahuan Desert (modern Mexican states + Texas)",#993C1D,#993C1D33,""
chihuahuan-peyote,22,-107,"Chihuahuan Desert (modern Mexican states + Texas)",#993C1D,#993C1D33,""
amazon-ayahuasca,5,-75,"Amazon basin (modern borders) — ayahuasca homelands",#2E7D32,#2E7D3233,"Modern political borders. Shipibo, Yawanawa, Yaminawa, Achuar, Kichwa, and 50+ other Indigenous peoples have independent ayahuasca traditions. Brazil legally permits ayahuasca use in Santo Daime + União do Vegetal religions since 1987."
amazon-ayahuasca,5,-55,"Amazon basin (modern borders) — ayahuasca homelands",#2E7D32,#2E7D3233,""
amazon-ayahuasca,-15,-55,"Amazon basin (modern borders) — ayahuasca homelands",#2E7D32,#2E7D3233,""
amazon-ayahuasca,-15,-75,"Amazon basin (modern borders) — ayahuasca homelands",#2E7D32,#2E7D3233,""
oaxaca-mushrooms,18,-99,"Oaxaca (modern state borders) — Mazatec psilocybin ceremony",#2E7D32,#2E7D3233,"Modern political borders. María Sabina's velada ceremony in Huautla de Jiménez became the West's introduction to psilocybin via 1955 Life magazine. Gordon Wasson's ethnography reshaped Mazatec culture — the extractive cost of that visit is still debated in the community."
oaxaca-mushrooms,18,-94,"Oaxaca (modern state borders) — Mazatec psilocybin ceremony",#2E7D32,#2E7D3233,""
oaxaca-mushrooms,15,-94,"Oaxaca (modern state borders) — Mazatec psilocybin ceremony",#2E7D32,#2E7D3233,""
oaxaca-mushrooms,15,-97,"Oaxaca (modern state borders) — Mazatec psilocybin ceremony",#2E7D32,#2E7D3233,""
oaxaca-mushrooms,16,-99,"Oaxaca (modern state borders) — Mazatec psilocybin ceremony",#2E7D32,#2E7D3233,""
switzerland-lsd,48,6,"Switzerland (modern borders) — LSD synthesis origin",#185FA5,#185FA533,"Modern political border. Albert Hofmann synthesized LSD at Sandoz Labs in Basel 1938; discovered its effects 1943 ('Bicycle Day'). Hofmann lived to 102 and defended LSD's therapeutic potential until his death."
switzerland-lsd,48,10,"Switzerland (modern borders) — LSD synthesis origin",#185FA5,#185FA533,""
switzerland-lsd,46,10,"Switzerland (modern borders) — LSD synthesis origin",#185FA5,#185FA533,""
switzerland-lsd,46,6,"Switzerland (modern borders) — LSD synthesis origin",#185FA5,#185FA533,""
oregon-legal-psilocybin,46,-124,"Oregon + Colorado (modern borders) — legal psilocybin services",#2E7D32,#2E7D3233,"Modern political borders. Oregon Measure 109 (2020) legalized psilocybin services; first clinics opened 2023. Colorado Proposition 122 (2022) followed. Supervised-setting model (not general recreational)."
oregon-legal-psilocybin,46,-117,"Oregon + Colorado (modern borders) — legal psilocybin services",#2E7D32,#2E7D3233,""
oregon-legal-psilocybin,37,-102,"Oregon + Colorado (modern borders) — legal psilocybin services",#2E7D32,#2E7D3233,""
oregon-legal-psilocybin,41,-110,"Oregon + Colorado (modern borders) — legal psilocybin services",#2E7D32,#2E7D3233,""
oregon-legal-psilocybin,41,-124,"Oregon + Colorado (modern borders) — legal psilocybin services",#2E7D32,#2E7D3233,""
usa-research-centers,49,-125,"USA (modern borders) — psychedelic research renaissance",#2E7D32,#2E7D3233,"Modern political border. Johns Hopkins, NYU, UCSF, and Yale anchor a research revival since 2006 (Roland Griffiths). Clinical trials for depression, PTSD, addiction, end-of-life anxiety ongoing."
usa-research-centers,49,-67,"USA (modern borders) — psychedelic research renaissance",#2E7D32,#2E7D3233,""
usa-research-centers,25,-81,"USA (modern borders) — psychedelic research renaissance",#2E7D32,#2E7D3233,""
usa-research-centers,32,-117,"USA (modern borders) — psychedelic research renaissance",#2E7D32,#2E7D3233,""
