polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent pre-Columbian civilizations (Olmec, Maya, Aztec), the Spanish colonial empire, or early African colonial territories."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
mexico-origin,32,-117,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,"Modern political border (post-1910 Revolution). ORIGIN of cacao as cultural and economic institution — Tenochtitlan (now Mexico City), Aztec currency system, xocolatl ritual drink. Still a minor producer today."
mexico-origin,32,-106,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,28,-97,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,17,-88,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,15,-92,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,16,-96,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,20,-105,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
mexico-origin,23,-109,"Mexico (modern borders) — Aztec heartland",#BA7517,#BA751733,""
ecuador-ancestral-origin,1.5,-79,"Ecuador (modern borders) — ancestral origin of cacao",#BA7517,#BA751733,"Modern political border. DNA evidence (Zarrillo et al., 2018) places the earliest domesticated cacao in the upper Amazon basin — southeastern Ecuador ~5,300 years ago. Nacional variety is the living heirloom."
ecuador-ancestral-origin,1.5,-76,"Ecuador (modern borders) — ancestral origin of cacao",#BA7517,#BA751733,""
ecuador-ancestral-origin,-4,-76,"Ecuador (modern borders) — ancestral origin of cacao",#BA7517,#BA751733,""
ecuador-ancestral-origin,-4,-81,"Ecuador (modern borders) — ancestral origin of cacao",#BA7517,#BA751733,""
ecuador-ancestral-origin,-2,-81,"Ecuador (modern borders) — ancestral origin of cacao",#BA7517,#BA751733,""
ivory-coast-modern,10.5,-8,"Côte d'Ivoire (modern borders) — largest producer today",#2E7D32,#2E7D3233,"Modern political border (post-1960 independence). 42% of world cacao. The industry is built on child labour despite legal frameworks and 'fair trade' certification schemes — documented ongoing violations (US Dept of Labor Child Labor Reports 2020)."
ivory-coast-modern,10.5,-3,"Côte d'Ivoire (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
ivory-coast-modern,5,-3,"Côte d'Ivoire (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
ivory-coast-modern,4.5,-7,"Côte d'Ivoire (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
ivory-coast-modern,7.5,-8.5,"Côte d'Ivoire (modern borders) — largest producer today",#2E7D32,#2E7D3233,""
ghana-modern,11,-3,"Ghana (modern borders) — 17% of world production",#2E7D32,#2E7D3233,"Modern political border (post-1957 independence — first sub-Saharan African colony to gain independence). British introduced cacao 1879; now 17% of world supply."
ghana-modern,11,1.2,"Ghana (modern borders) — 17% of world production",#2E7D32,#2E7D3233,""
ghana-modern,6,1.2,"Ghana (modern borders) — 17% of world production",#2E7D32,#2E7D3233,""
ghana-modern,5,-3,"Ghana (modern borders) — 17% of world production",#2E7D32,#2E7D3233,""
nigeria-cameroon-modern,13,3,"Nigeria + Cameroon (modern borders) — 7% + emerging production",#2E7D32,#2E7D3233,"Modern political borders. Combined ~10% of world cacao."
nigeria-cameroon-modern,13,14,"Nigeria + Cameroon (modern borders) — 7% + emerging production",#2E7D32,#2E7D3233,""
nigeria-cameroon-modern,2,16,"Nigeria + Cameroon (modern borders) — 7% + emerging production",#2E7D32,#2E7D3233,""
nigeria-cameroon-modern,4,8,"Nigeria + Cameroon (modern borders) — 7% + emerging production",#2E7D32,#2E7D3233,""
nigeria-cameroon-modern,6,3,"Nigeria + Cameroon (modern borders) — 7% + emerging production",#2E7D32,#2E7D3233,""
indonesia-cacao,6,95,"Indonesia (modern borders) — 13% of world production",#2E7D32,#2E7D3233,"Modern political border. Sulawesi is the main cacao island. 13% of world cacao."
indonesia-cacao,2,120,"Indonesia (modern borders) — 13% of world production",#2E7D32,#2E7D3233,""
indonesia-cacao,-9,141,"Indonesia (modern borders) — 13% of world production",#2E7D32,#2E7D3233,""
indonesia-cacao,-10,110,"Indonesia (modern borders) — 13% of world production",#2E7D32,#2E7D3233,""
indonesia-cacao,-6,95,"Indonesia (modern borders) — 13% of world production",#2E7D32,#2E7D3233,""
brazil-cacao-bahia,-11,-42,"Brazil / Bahia (modern borders) — historical major producer",#2E7D32,#2E7D3233,"Modern political border. Bahia state anchored Brazilian cacao through the 19th–20th centuries; 1989 witch-broom fungus devastated the industry. Slow ongoing recovery."
brazil-cacao-bahia,-11,-38,"Brazil / Bahia (modern borders) — historical major producer",#2E7D32,#2E7D3233,""
brazil-cacao-bahia,-18,-39,"Brazil / Bahia (modern borders) — historical major producer",#2E7D32,#2E7D3233,""
brazil-cacao-bahia,-18,-42,"Brazil / Bahia (modern borders) — historical major producer",#2E7D32,#2E7D3233,""
