line_id,lat,lng,title,color,description
pattern-beer,30.87,46.10,"Pattern 1 — Beer: Sumerian origin → global mass market",#8B4513,"Mesopotamia → Egyptian mass brewing → European monastic → German/Czech codification → US craft → China world's #1 by volume."
pattern-beer,48.14,11.58,"Pattern 1 — Beer: Sumerian origin → global mass market",#8B4513,"Germany — Reinheitsgebot 1516."
pattern-beer,39.77,-86.16,"Pattern 1 — Beer: Sumerian origin → global mass market",#8B4513,"US craft belt + Anthony's Indianapolis."
pattern-wine,41.72,44.83,"Pattern 2 — Wine: Georgia origin → global",#8B4513,"Georgian qvevri 8,000 years → Greek/Roman Mediterranean → French/Italian/Spanish core → New World (Argentina, Chile, South Africa, Australia, California)."
pattern-wine,44.84,-0.58,"Pattern 2 — Wine: Georgia origin → global",#8B4513,"Bordeaux — medieval English-French wine trade."
pattern-wine,38.30,-122.46,"Pattern 2 — Wine: Georgia origin → global",#8B4513,"Napa 1976 Judgment of Paris."
pattern-whiskey,56.49,-4.20,"Pattern 3 — Whiskey: Gaelic origin → global",#8B4513,"Scotland + Ireland → Scots-Irish emigration → Kentucky Bourbon + Tennessee (enslaved distiller Nearest Green teaches Jack Daniel) → Japan premium."
pattern-whiskey,38.20,-85.75,"Pattern 3 — Whiskey: Gaelic origin → global",#8B4513,"Kentucky Bourbon heartland."
pattern-whiskey,35.01,135.68,"Pattern 3 — Whiskey: Gaelic origin → global",#8B4513,"Yamazaki Japan — Taketsuru's Scottish apprenticeship."
pattern-rum,13.19,-59.54,"Pattern 4 — Rum: Caribbean origin on enslaved labor → global",#8B4513,"Barbados origin → Atlantic slave triangle with New England rum → Royal Navy grog → modern Bacardí empire."
pattern-rum,42.36,-71.05,"Pattern 4 — Rum: Caribbean origin on enslaved labor → global",#8B4513,"Boston — 150+ rum distilleries by 1750, American side of the triangle trade."
pattern-rum,18.47,-66.10,"Pattern 4 — Rum: Caribbean origin on enslaved labor → global",#8B4513,"Puerto Rico — Bacardí anchor, 70% of US rum."
pattern-tequila,20.88,-103.84,"Pattern 5 — Tequila + Mezcal: Indigenous Mexican origin → global",#8B4513,"Oaxaca indigenous mezcal → Jalisco blue-agave tequila DO (1974) → Prohibition-era border export → 2010s premium-agave boom."
pattern-tequila,40.71,-74.00,"Pattern 5 — Tequila + Mezcal: Indigenous Mexican origin → global",#8B4513,"NYC — celebrity-tequila marketing capitalizes on Mexican indigenous heritage."
pattern-sake,37.95,138.35,"Pattern 6 — Sake: Japanese origin → global premium",#8B4513,"Niigata + Hyogo Nada + Kyoto Fushimi three-region anchor → Edo-period Taru Kaisen trade → post-WWII global premium export."
pattern-sake,40.71,-74.00,"Pattern 6 — Sake: Japanese origin → global premium",#8B4513,"NYC — largest US premium sake market."
synthesis-global-alcohol,48.86,2.35,"LAYER 3 — Modern Supply Chain: who owns global alcohol",#6B7280,"Paris — Pernod Ricard world's #2 spirits conglomerate."
synthesis-global-alcohol,51.51,-0.13,"LAYER 3 — Modern Supply Chain: who owns global alcohol",#6B7280,"London — Diageo world's #1 spirits conglomerate (Johnnie Walker, Guinness, Smirnoff, Tanqueray, Don Julio, Bulleit, Captain Morgan)."
synthesis-global-alcohol,50.85,4.35,"LAYER 3 — Modern Supply Chain: who owns global alcohol",#6B7280,"Brussels — AB InBev world's #1 beer conglomerate."
synthesis-global-alcohol,40.71,-74.00,"LAYER 3 — Modern Supply Chain: who owns global alcohol",#6B7280,"NYC — Constellation Brands (Corona, Modelo, Casa Noble, Kim Crawford)."
synthesis-global-alcohol,35.68,139.77,"LAYER 3 — Modern Supply Chain: who owns global alcohol",#6B7280,"Tokyo — Suntory + Asahi + Kirin control Japanese alcohol market + significant global brands."
