polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent ancient Sumer, the Byzantine + Ottoman Empires, the Qing Dynasty, British colonial India, or pre-Taliban Afghanistan."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
afghanistan-illicit,38,61,"Afghanistan (modern borders) — world's #1 illicit opium producer",#993C1D,#993C1D33,"Modern political border. ~85% of world illicit opium 2020. Helmand + Kandahar provinces anchor. Taliban banned poppy in 2022 but fentanyl-precursor chemistry and regional stockpiles continue supply."
afghanistan-illicit,38,75,"Afghanistan (modern borders) — world's #1 illicit opium producer",#993C1D,#993C1D33,""
afghanistan-illicit,30,75,"Afghanistan (modern borders) — world's #1 illicit opium producer",#993C1D,#993C1D33,""
afghanistan-illicit,30,61,"Afghanistan (modern borders) — world's #1 illicit opium producer",#993C1D,#993C1D33,""
golden-triangle,28,94,"Myanmar Shan State (modern borders) — Golden Triangle",#2E7D32,#2E7D3233,"Modern political border. Myanmar + Laos + Thailand tri-border zone = Golden Triangle. 2nd-largest illicit opium producer. Ethnic armed groups control territory; UN counter-narcotics programs have limited reach."
golden-triangle,28,102,"Myanmar Shan State (modern borders) — Golden Triangle",#2E7D32,#2E7D3233,""
golden-triangle,18,102,"Myanmar Shan State (modern borders) — Golden Triangle",#2E7D32,#2E7D3233,""
golden-triangle,18,94,"Myanmar Shan State (modern borders) — Golden Triangle",#2E7D32,#2E7D3233,""
mexico-fentanyl,32,-117,"Mexico (modern borders) — main supplier to US illicit market",#2E7D32,#2E7D3233,"Modern political border. Sinaloa + Guerrero + Durango produce heroin + increasingly synthesize fentanyl. Cartel supply crosses US border; ~70,000 US fentanyl overdose deaths 2023 (CDC)."
mexico-fentanyl,32,-106,"Mexico (modern borders) — main supplier to US illicit market",#2E7D32,#2E7D3233,""
mexico-fentanyl,16,-96,"Mexico (modern borders) — main supplier to US illicit market",#2E7D32,#2E7D3233,""
mexico-fentanyl,20,-105,"Mexico (modern borders) — main supplier to US illicit market",#2E7D32,#2E7D3233,""
mexico-fentanyl,23,-109,"Mexico (modern borders) — main supplier to US illicit market",#2E7D32,#2E7D3233,""
appalachia-epidemic,41,-88,"USA / Appalachia (modern borders) — opioid-crisis epicentre",#993C1D,#993C1D33,"Modern political borders. West Virginia + Kentucky + Ohio + Tennessee + Virginia coal-country counties have the highest US overdose rates. Purdue Pharma's OxyContin marketing deliberately targeted these communities (DOJ + congressional investigations)."
appalachia-epidemic,41,-80,"USA / Appalachia (modern borders) — opioid-crisis epicentre",#993C1D,#993C1D33,""
appalachia-epidemic,33,-80,"USA / Appalachia (modern borders) — opioid-crisis epicentre",#993C1D,#993C1D33,""
appalachia-epidemic,33,-88,"USA / Appalachia (modern borders) — opioid-crisis epicentre",#993C1D,#993C1D33,""
india-licit-production,22,72,"India (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,"Modern political border. India is the world's largest LICIT poppy producer — government-controlled farms supply global pharma morphine + codeine markets under UN 1961 Single Convention."
india-licit-production,26,82,"India (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
india-licit-production,25,78,"India (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
india-licit-production,23,75,"India (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
turkey-licit,39,26,"Turkey (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,"Modern political border. Turkey is the other major licit poppy producer — UN-approved pharma supply. Since 1971 US pressure led to a closed 'poppy-straw' system replacing traditional lancing."
turkey-licit,39,44,"Turkey (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
turkey-licit,36,44,"Turkey (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
turkey-licit,36,26,"Turkey (modern borders) — licit pharmaceutical opium",#2E7D32,#2E7D3233,""
