line_id,lat,lng,title,color,description
guayusa-ecological-range,-1.40,-77.8,"LAYER 1 — Historical Trade: Guayusa's Amazonian cloud-forest range",#8B4513,"Napo Province Ecuador — ancestral Kichwa/Achuar homeland. Guayusa cultivated here for 1,500+ years in the transition zone between Andes and Amazon."
guayusa-ecological-range,-3.00,-77.0,"LAYER 1 — Historical Trade: Guayusa's Amazonian cloud-forest range",#8B4513,"Pastaza Province Ecuador — Achuar + Shuar territory. Wayus Aramu ('guayusa time') ceremony begins pre-dawn."
guayusa-ecological-range,-5.50,-76.0,"LAYER 1 — Historical Trade: Guayusa's Amazonian cloud-forest range",#8B4513,"Peru upper Amazon — guayusa's natural range extends into the northern Peruvian Amazon."
guayusa-ecological-range,-1.0,-74.0,"LAYER 1 — Historical Trade: Guayusa's Amazonian cloud-forest range",#8B4513,"Southern Colombia — Putumayo Department. Obligate cloud-forest understory species; destroy the forest, lose the plant."
kola-west-african-belt,8.48,-13.23,"LAYER 1 — Historical Trade: Kola nut's West African belt",#8B4513,"Sierra Leone — rainforest belt Kola acuminata + Kola nitida."
kola-west-african-belt,6.42,-9.43,"LAYER 1 — Historical Trade: Kola nut's West African belt",#8B4513,"Liberia — forest-dependent cultivation."
kola-west-african-belt,7.55,-5.55,"LAYER 1 — Historical Trade: Kola nut's West African belt",#8B4513,"Côte d'Ivoire forest zone."
kola-west-african-belt,7.95,-1.03,"LAYER 1 — Historical Trade: Kola nut's West African belt",#8B4513,"Ghana — Akan + Ewe ceremonial use. Kola nut gift opens any important meeting."
kola-west-african-belt,6.50,3.38,"LAYER 1 — Historical Trade: Kola nut's West African belt",#8B4513,"Nigeria — Yoruba, Igbo, Hausa. Kola nut ('obi' in Igbo) is central to marriage, diplomacy, and chieftaincy rituals."
kola-trans-saharan,6.50,3.38,"LAYER 1 — Historical Trade: Kola nut on trans-Saharan caravan routes",#8B4513,"Nigeria/West African forest — source of kola for the medieval trans-Saharan network."
kola-trans-saharan,13.51,2.11,"LAYER 1 — Historical Trade: Kola nut on trans-Saharan caravan routes",#8B4513,"Niamey + Sahel — caravan route staging."
kola-trans-saharan,16.77,-3.00,"LAYER 1 — Historical Trade: Kola nut on trans-Saharan caravan routes",#8B4513,"Timbuktu — Mali empire gold-salt-kola trade hub; Kola moves from forest to desert to Mediterranean via salt caravans."
kola-trans-saharan,31.77,-7.08,"LAYER 1 — Historical Trade: Kola nut on trans-Saharan caravan routes",#8B4513,"Marrakesh — North African entry point."
kola-atlantic-colonial,6.50,3.38,"LAYER 1 — Historical Trade: Kola nut in the Atlantic slave trade",#8B4513,"Bight of Benin — enslaved West Africans carried kola tradition to the Americas."
kola-atlantic-colonial,13.19,-59.54,"LAYER 1 — Historical Trade: Kola nut in the Atlantic slave trade",#8B4513,"Caribbean — kola cultural practices preserved in diaspora communities in Jamaica, Haiti, Brazil."
kola-atlantic-colonial,33.74,-84.39,"LAYER 1 — Historical Trade: Kola nut in the Atlantic slave trade",#8B4513,"Atlanta Georgia — 1886, John Pemberton uses kola nut + coca leaf to invent Coca-Cola. West African commodity becomes global corporate brand."
guayusa-kola-language,-1.40,-77.8,"LAYER 2 — Language Diffusion: Indigenous names preserved",#7B1FA2,"Kichwa — 'guayusa' (also spelled wayusa) — this is the English borrowing from Kichwa, not the other way around."
guayusa-kola-language,-3.00,-77.0,"LAYER 2 — Language Diffusion: Indigenous names preserved",#7B1FA2,"Achuar Chicham — 'wayus'. The Achuar name co-exists with the Kichwa name."
guayusa-kola-language,6.50,3.38,"LAYER 2 — Language Diffusion: Indigenous names preserved",#7B1FA2,"Yoruba / Igbo — 'obi' (Igbo), 'obì' (Yoruba). The English 'kola' is from Temne and Mandinka."
guayusa-kola-language,33.74,-84.39,"LAYER 2 — Language Diffusion: Indigenous names preserved",#7B1FA2,"English — 'kola' and 'cola'. Survives in 'Coca-Cola' even though modern formula uses only caffeine extract."
modern-guayusa-kola,-0.22,-78.52,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Quito Ecuador — specialty export hub. Runa Tea Company + Waykana organize Kichwa smallholder farms for direct-trade export."
modern-guayusa-kola,6.50,3.38,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Lagos Nigeria — largest kola market on Earth. Kola processing also feeds the global soft-drink extract industry."
modern-guayusa-kola,40.71,-74.00,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"New York — specialty Amazonian beverage market (guayusa sold as premium energy tea)."
modern-guayusa-kola,33.74,-84.39,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Atlanta — Coca-Cola HQ. Global beverage giant built on West African and South American plant genetics."
