polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. Indigenous Achuar, Shuar, Kichwa, Shiwiar, Yoruba, Igbo, Hausa, Akan, Temne homelands do NOT align with modern nation-state boundaries — they pre-date them by centuries or millennia."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
ecuador-amazonia,1.5,-79,"Ecuador (modern borders) — guayusa heartland",#BA7517,#BA751733,"Modern political border. Napo + Pastaza + Morona-Santiago provinces hold the Achuar, Shuar, and Kichwa homelands where guayusa has been cultivated for 1,500+ years. Destruction of primary forest is the direct threat — guayusa cannot be farmed monoculture-style; it needs Inga shade trees and mycorrhizal networks."
ecuador-amazonia,1.5,-76,"Ecuador (modern borders) — guayusa heartland",#BA7517,#BA751733,""
ecuador-amazonia,-4,-76,"Ecuador (modern borders) — guayusa heartland",#BA7517,#BA751733,""
ecuador-amazonia,-4,-81,"Ecuador (modern borders) — guayusa heartland",#BA7517,#BA751733,""
ecuador-amazonia,-2,-81,"Ecuador (modern borders) — guayusa heartland",#BA7517,#BA751733,""
peru-amazonia,0,-75,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,"Modern political border. Peru's northern Amazon (Loreto + San Martín) extends the guayusa's natural range. Shared Kichwa and Achuar populations cross the Ecuador-Peru border."
peru-amazonia,0,-70,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-8,-68,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-14,-73,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-18,-70,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-18,-72,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-4,-81,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
peru-amazonia,-3,-75,"Peru (modern borders) — northern Amazonian guayusa range",#2E7D32,#2E7D3233,""
nigeria-kola,14,3,"Nigeria (modern borders) — largest kola producer + market",#BA7517,#BA751733,"Modern political border (post-1960 independence). Yoruba, Igbo, and Hausa homelands. Nigeria is the world's largest kola producer and consumer. Lagos is the biggest kola market on Earth."
nigeria-kola,14,14,"Nigeria (modern borders) — largest kola producer + market",#BA7517,#BA751733,""
nigeria-kola,4,8,"Nigeria (modern borders) — largest kola producer + market",#BA7517,#BA751733,""
nigeria-kola,5,5,"Nigeria (modern borders) — largest kola producer + market",#BA7517,#BA751733,""
nigeria-kola,7,3,"Nigeria (modern borders) — largest kola producer + market",#BA7517,#BA751733,""
west-africa-kola-belt,12,-15,"West African Kola Belt (modern borders) — Sierra Leone to Ghana",#2E7D32,#2E7D3233,"Modern political borders. Kola's rainforest belt — Sierra Leone, Liberia, Côte d'Ivoire, Ghana, Togo, Benin. Kola trade fueled medieval Mali and Songhai empires via the trans-Saharan caravan network."
west-africa-kola-belt,12,2,"West African Kola Belt (modern borders) — Sierra Leone to Ghana",#2E7D32,#2E7D3233,""
west-africa-kola-belt,4,2,"West African Kola Belt (modern borders) — Sierra Leone to Ghana",#2E7D32,#2E7D3233,""
west-africa-kola-belt,4,-12,"West African Kola Belt (modern borders) — Sierra Leone to Ghana",#2E7D32,#2E7D3233,""
west-africa-kola-belt,10,-17,"West African Kola Belt (modern borders) — Sierra Leone to Ghana",#2E7D32,#2E7D3233,""
colombia-amazon,12,-75,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,"Modern political border. Colombia's Putumayo Department shares the Amazonian cloud-forest ecology with northern Ecuador — same Kichwa homeland across two nation-states."
colombia-amazon,12,-72,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,""
colombia-amazon,-4,-66,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,""
colombia-amazon,-4,-73,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,""
colombia-amazon,1,-79,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,""
colombia-amazon,8,-78,"Colombia (modern borders) — southern Amazonian guayusa range",#2E7D32,#2E7D3233,""
