line_id,lat,lng,title,color,description
tobacco-indigenous-origin,18.22,-66.59,"LAYER 1 — Historical Trade: Indigenous Americas origin",#8B4513,"Taíno Caribbean — Columbus 1492 encounters 'cohiba' ceremonial tobacco. Nicotiana rustica cultivated in Americas 6,000+ years ago."
tobacco-indigenous-origin,19.43,-99.13,"LAYER 1 — Historical Trade: Indigenous Americas origin",#8B4513,"Mesoamerica — Aztec + Maya ceremonial smoking; 'picietl' in Nahuatl."
tobacco-indigenous-origin,37.54,-77.43,"LAYER 1 — Historical Trade: Indigenous Americas origin",#8B4513,"Chesapeake Bay (Powhatan) — tobacco is central to diplomacy; later 'saved' Jamestown economy."
tobacco-colonial-plantation,37.54,-77.43,"LAYER 1 — Historical Trade: Chesapeake colonial plantations",#8B4513,"Virginia — John Rolfe plants Nicotiana tabacum 1612. Tobacco saves Jamestown from failure."
tobacco-colonial-plantation,36.00,-78.91,"LAYER 1 — Historical Trade: Chesapeake colonial plantations",#8B4513,"North Carolina — tobacco belt built on enslaved African labour."
tobacco-colonial-plantation,51.51,-0.13,"LAYER 1 — Historical Trade: Chesapeake colonial plantations",#8B4513,"London — colonial tobacco trade enriches British merchants; taxes fund British state."
tobacco-global-spread,41.01,28.98,"LAYER 1 — Historical Trade: Ottoman + Asian spread",#8B4513,"Istanbul — Ottoman court adopts tobacco 1600s despite periodic bans. Hookah smoking develops."
tobacco-global-spread,22.54,114.06,"LAYER 1 — Historical Trade: Ottoman + Asian spread",#8B4513,"Canton China — Portuguese introduce tobacco via Macau; Qing emperors alternately ban + tax."
tobacco-global-spread,20.59,78.96,"LAYER 1 — Historical Trade: Ottoman + Asian spread",#8B4513,"India — Portuguese Jesuits introduce tobacco 1605; now India #2 world producer."
tobacco-modern-industry,36.17,-86.78,"LAYER 1 — Historical Trade: Modern industrial tobacco + Marlboro Man",#8B4513,"Tennessee + Winston-Salem NC — R.J. Reynolds + Philip Morris build Big Tobacco industry."
tobacco-modern-industry,38.55,106.25,"LAYER 1 — Historical Trade: Modern industrial tobacco + Marlboro Man",#8B4513,"Yunnan China — China National Tobacco Corporation state monopoly, now the world's largest cigarette maker."
tobacco-word-diffusion,18.22,-66.59,"LAYER 2 — Language Diffusion: 'tobacco' etymology",#7B1FA2,"Taíno — 'tabaco' (may have originally meant the rolled smoking tube, not the plant)."
tobacco-word-diffusion,40.42,-3.70,"LAYER 2 — Language Diffusion: 'tobacco' etymology",#7B1FA2,"Spanish — 'tabaco'. Preserves the Taíno word as the global root."
tobacco-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: 'tobacco' etymology",#7B1FA2,"English — 'tobacco'. Nearly all European languages retain the Taíno root."
tobacco-modern-supply,38.55,106.25,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"China — 43% of world tobacco production, near-total state monopoly."
tobacco-modern-supply,20.59,78.96,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"India — 9% of world production, Andhra Pradesh + Gujarat."
tobacco-modern-supply,-23.55,-46.63,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Brazil — 11% of world production, major exporter."
tobacco-modern-supply,-15,30,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Malawi + Zimbabwe + Zambia — African tobacco belt, significant exporter to global manufacturers."
