line_id,lat,lng,title,color,description
opium-sumerian-origin,30.87,46.10,"LAYER 1 — Historical Trade: Sumerian origin + Mediterranean spread",#8B4513,"Sumerian Mesopotamia ~3,400 BCE — poppy tablets describe 'hul gil' (joy plant). Earliest medical use documented."
opium-sumerian-origin,37.98,23.72,"LAYER 1 — Historical Trade: Sumerian origin + Mediterranean spread",#8B4513,"Greece — Hippocrates recommends poppy juice for pain, sleep, internal bleeding 400 BCE."
opium-sumerian-origin,41.90,12.50,"LAYER 1 — Historical Trade: Sumerian origin + Mediterranean spread",#8B4513,"Rome — Galen formalizes opium medicine; Marcus Aurelius reportedly used it daily."
opium-ottoman-persian,35.69,51.39,"LAYER 1 — Historical Trade: Ottoman + Persian supply",#8B4513,"Persia — medieval + modern opium production; 19th century Qajar dynasty exports to China."
opium-ottoman-persian,41.01,28.98,"LAYER 1 — Historical Trade: Ottoman + Persian supply",#8B4513,"Istanbul — Ottoman opium state monopoly 16th–19th centuries. Smyrna (Izmir) was the main export port."
opium-wars-china,22.54,114.06,"LAYER 1 — Historical Trade: British Opium Wars",#8B4513,"Canton — British East India Company smuggles Indian opium into China against Qing prohibition. First Opium War 1839–42 forces 'unequal treaties'."
opium-wars-china,22.28,114.17,"LAYER 1 — Historical Trade: British Opium Wars",#8B4513,"Hong Kong — ceded to Britain in Treaty of Nanking 1842. Became centre of British colonial opium trade."
opium-wars-china,26.14,91.74,"LAYER 1 — Historical Trade: British Opium Wars",#8B4513,"Bengal (India) — British East India Company monopoly opium production. Forced Indian peasants to grow poppy for the China trade."
opium-modern-illicit,33.31,66.52,"LAYER 1 — Historical Trade: Modern illicit production",#8B4513,"Helmand Afghanistan — world's #1 illicit opium producer (~85% of global supply 2020)."
opium-modern-illicit,21.92,96.10,"LAYER 1 — Historical Trade: Modern illicit production",#8B4513,"Myanmar Shan State (Golden Triangle) — second-largest illicit producer; ethnic armed groups control."
opium-modern-illicit,25.03,-107.40,"LAYER 1 — Historical Trade: Modern illicit production",#8B4513,"Sinaloa Mexico — poppy cultivation for heroin; fentanyl synthesis also concentrated here."
pharma-crisis,40.71,-74.00,"LAYER 1 — Historical Trade: US Pharma Opioid Crisis",#8B4513,"NYC — Purdue Pharma (Sackler family) introduces OxyContin 1996. 'Pain is the fifth vital sign' marketing campaign."
pharma-crisis,39.96,-82.99,"LAYER 1 — Historical Trade: US Pharma Opioid Crisis",#8B4513,"Appalachia (West Virginia + Ohio + Kentucky) — epidemic epicentre. ~500,000+ US overdose deaths 1999–2024."
pharma-crisis,22.54,114.06,"LAYER 1 — Historical Trade: US Pharma Opioid Crisis",#8B4513,"Wuhan / Shanghai China — fentanyl precursor chemicals shipped from Chinese labs to Mexican cartels (pre-2019 crackdown)."
opium-word-diffusion,37.98,23.72,"LAYER 2 — Language Diffusion: 'opium' roots",#7B1FA2,"Greek — 'opion' (juice). Source of 'opium' in all European languages."
opium-word-diffusion,41.90,12.50,"LAYER 2 — Language Diffusion: 'opium' roots",#7B1FA2,"Latin — 'opium'. Global scientific + medical term."
opium-word-diffusion,35.69,51.39,"LAYER 2 — Language Diffusion: 'opium' roots",#7B1FA2,"Persian/Arabic — 'afyūm' / 'afiūn'. Spread along Silk Road."
opium-modern-supply,33.31,66.52,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Afghanistan — 85% of world illicit opium 2020. Taliban banned 2022; cultivation dropped but processing + fentanyl continue."
opium-modern-supply,25.03,-107.40,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Sinaloa / Guerrero Mexico — main supplier to US illicit fentanyl + heroin market."
opium-modern-supply,42.33,-83.05,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Detroit / Michigan — fentanyl distribution corridor into US Midwest."
opium-modern-supply,39.96,-82.99,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Appalachia — epicentre of US overdose crisis, ~108,000 deaths in 2023 alone (CDC)."
