line_id,lat,lng,title,color,description
pattern-coffee,7.3,36.5,"Pattern 1 — Coffee: origin → empire → everyday commodity",#8B4513,"Ethiopia (origin) → Yemen (first trade) → Ottoman coffeehouses → European colonialism → today's $100B+ industry where farmers capture <10% of value."
pattern-coffee,41.01,28.98,"Pattern 1 — Coffee: origin → empire → everyday commodity",#8B4513,"Istanbul (first coffeehouses, schools of the wise)."
pattern-coffee,-23.97,-46.32,"Pattern 1 — Coffee: origin → empire → everyday commodity",#8B4513,"Santos Brazil (largest producer, built on enslaved labour)."
pattern-coffee,40.71,-74.00,"Pattern 1 — Coffee: origin → empire → everyday commodity",#8B4513,"NYC (C-market sets global Arabica prices)."
pattern-tea,35.86,104.20,"Pattern 2 — Tea: origin → empire → everyday commodity",#8B4513,"China (origin, 1,000+ year monopoly) → British East India Company → Indian plantations on indentured labour → world's largest non-water beverage."
pattern-tea,22.54,114.06,"Pattern 2 — Tea: origin → empire → everyday commodity",#8B4513,"Canton (only port Europeans could trade through pre-1842)."
pattern-tea,26.14,91.74,"Pattern 2 — Tea: origin → empire → everyday commodity",#8B4513,"Assam India (British transplant, indentured labour)."
pattern-tea,51.51,-0.13,"Pattern 2 — Tea: origin → empire → everyday commodity",#8B4513,"London (10–15% of British state revenue in the 1700s)."
pattern-chocolate,-1.0,-78.5,"Pattern 3 — Chocolate: origin → conquest → mass product",#8B4513,"Ecuador upper Amazon (DNA origin) + Mesoamerica (cultural origin) → Spanish conquest → African colonial transplant → today's child-labour industry (US DoL)."
pattern-chocolate,19.43,-99.13,"Pattern 3 — Chocolate: origin → conquest → mass product",#8B4513,"Tenochtitlan (Aztec xocolatl, currency)."
pattern-chocolate,7.97,-5.57,"Pattern 3 — Chocolate: origin → conquest → mass product",#8B4513,"Côte d'Ivoire (42% of world cacao today)."
pattern-chocolate,52.5,13.4,"Pattern 3 — Chocolate: origin → conquest → mass product",#8B4513,"Germany (largest chocolate exporter)."
pattern-sugar,-6.31,143.96,"Pattern 4 — Sugar: origin → triangle trade → bitterest commodity",#8B4513,"Papua New Guinea (origin) → India crystallization → Arab agricultural spread → Atlantic slave-trade triangle → today's HFCS market."
pattern-sugar,8.48,-13.23,"Pattern 4 — Sugar: origin → triangle trade → bitterest commodity",#8B4513,"West Africa (~12.5M enslaved forcibly shipped)."
pattern-sugar,13.19,-59.54,"Pattern 4 — Sugar: origin → triangle trade → bitterest commodity",#8B4513,"Caribbean sugar islands (Barbados, Saint-Domingue — 'the richest colony on earth')."
pattern-sugar,-23.55,-46.63,"Pattern 4 — Sugar: origin → triangle trade → bitterest commodity",#8B4513,"São Paulo Brazil (39% of world cane sugar today)."
pattern-guayusa,-1.40,-77.8,"Pattern 5 — Guayusa: origin → indigenous sovereignty → niche export",#8B4513,"Amazonian cloud forest (Achuar/Kichwa homelands, 1,500+ years). Small specialty export market today. An alternative pattern: indigenous-led, forest-intact."
pattern-guayusa,40.71,-74.00,"Pattern 5 — Guayusa: origin → indigenous sovereignty → niche export",#8B4513,"NYC specialty beverage market."
pattern-kola,6.50,3.38,"Pattern 6 — Kola: origin → trans-Saharan + Atlantic → global soft drink",#8B4513,"West African rainforest (Yoruba/Igbo ceremony) → trans-Saharan caravans → Atlantic slavery → Pemberton invents Coca-Cola 1886."
pattern-kola,16.77,-3.00,"Pattern 6 — Kola: origin → trans-Saharan + Atlantic → global soft drink",#8B4513,"Timbuktu (Mali empire trade hub)."
pattern-kola,33.74,-84.39,"Pattern 6 — Kola: origin → trans-Saharan + Atlantic → global soft drink",#8B4513,"Atlanta — Coca-Cola HQ. West African commodity → global corporate brand."
pattern-kava,-19.53,169.52,"Pattern 7 — Kava: origin → missionary suppression → cultural revival",#8B4513,"Vanuatu (origin, 3,000+ years) → Austronesian voyages → missionary suppression → 2002 EU ban → modern global kava bar revival."
pattern-kava,-13.83,-171.77,"Pattern 7 — Kava: origin → missionary suppression → cultural revival",#8B4513,"Samoa (Fa'a Samoa — survived because embedded in chieftaincy)."
pattern-kava,30.33,-81.66,"Pattern 7 — Kava: origin → missionary suppression → cultural revival",#8B4513,"Jacksonville FL (highest-density kava bar scene outside the Pacific)."
synthesis-modern-value-capture,48.86,2.35,"LAYER 3 — Modern Supply Chain: who captures the value",#6B7280,"Paris + London + NYC + Amsterdam — the financial centres where commodity futures, branding margins, and retail pricing decisions happen."
synthesis-modern-value-capture,51.51,-0.13,"LAYER 3 — Modern Supply Chain: who captures the value",#6B7280,"London — commodity exchange legacy."
synthesis-modern-value-capture,40.71,-74.00,"LAYER 3 — Modern Supply Chain: who captures the value",#6B7280,"NYC — ICE Futures US."
synthesis-modern-value-capture,52.37,4.90,"LAYER 3 — Modern Supply Chain: who captures the value",#6B7280,"Amsterdam — largest cocoa port + historical VOC legacy."
synthesis-modern-value-capture,47.48,19.05,"LAYER 3 — Modern Supply Chain: who captures the value",#6B7280,"Global economic centres receive ~85–95% of each commodity's final retail value; farmers capture 1–10%."
