polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent the Roman Empire, the Byzantine Empire, medieval Bordeaux English-French trade, or colonial New World viticulture."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
georgia-caucasus-origin,43,40,"Georgia (modern borders) — wine's 8,000-year origin",#185FA5,#185FA533,"Modern political border (post-1991 independence). ORIGIN of wine — 8,000-year-old qvevri clay vessels at Gadachrili Gora near Tbilisi. Traditional qvevri method recognised by UNESCO 2013."
georgia-caucasus-origin,43,46,"Georgia (modern borders) — wine's 8,000-year origin",#185FA5,#185FA533,""
georgia-caucasus-origin,41,46,"Georgia (modern borders) — wine's 8,000-year origin",#185FA5,#185FA533,""
georgia-caucasus-origin,41,40,"Georgia (modern borders) — wine's 8,000-year origin",#185FA5,#185FA533,""
france-italy-spain,50,-5,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,"Modern political borders. France (Bordeaux, Burgundy, Champagne, Loire, Rhône). Italy (Tuscany, Piedmont, Veneto). Spain (Rioja, Ribera del Duero). Together produce ~50% of world wine and hold the defining appellation systems."
france-italy-spain,50,12,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,""
france-italy-spain,42,20,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,""
france-italy-spain,36,20,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,""
france-italy-spain,36,-10,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,""
france-italy-spain,43,-10,"France + Italy + Spain (modern borders) — 'Old World' wine core",#2E7D32,#2E7D3233,""
argentina-chile,-22,-72,"Argentina + Chile (modern borders) — Malbec + Carmenere revival",#2E7D32,#2E7D3233,"Modern political borders. Mendoza Argentina rescued Malbec from extinction in Europe. Chile's Central Valley preserved pre-phylloxera European vines. Together #5 + #8 world producers."
argentina-chile,-22,-58,"Argentina + Chile (modern borders) — Malbec + Carmenere revival",#2E7D32,#2E7D3233,""
argentina-chile,-55,-65,"Argentina + Chile (modern borders) — Malbec + Carmenere revival",#2E7D32,#2E7D3233,""
argentina-chile,-55,-75,"Argentina + Chile (modern borders) — Malbec + Carmenere revival",#2E7D32,#2E7D3233,""
usa-wine,49,-125,"USA (modern borders) — California dominates",#2E7D32,#2E7D3233,"Modern political border. California alone is the world's #4 wine producer; Napa, Sonoma, Paso Robles, Central Coast. Oregon Pinot Noir + Washington Cabernet are smaller but world-class."
usa-wine,49,-67,"USA (modern borders) — California dominates",#2E7D32,#2E7D3233,""
usa-wine,30,-81,"USA (modern borders) — California dominates",#2E7D32,#2E7D3233,""
usa-wine,32,-117,"USA (modern borders) — California dominates",#2E7D32,#2E7D3233,""
australia-nz-wine,-10,142,"Australia + New Zealand (modern borders) — Shiraz + Sauvignon Blanc",#2E7D32,#2E7D3233,"Modern political borders. Australia's Barossa + McLaren Vale (Shiraz). New Zealand's Marlborough single-handedly built global Sauvignon Blanc's reputation."
australia-nz-wine,-10,155,"Australia + New Zealand (modern borders) — Shiraz + Sauvignon Blanc",#2E7D32,#2E7D3233,""
australia-nz-wine,-48,180,"Australia + New Zealand (modern borders) — Shiraz + Sauvignon Blanc",#2E7D32,#2E7D3233,""
australia-nz-wine,-40,115,"Australia + New Zealand (modern borders) — Shiraz + Sauvignon Blanc",#2E7D32,#2E7D3233,""
south-africa-wine,-22,16,"South Africa (modern borders) — oldest New World producer",#2E7D32,#2E7D3233,"Modern political border. Dutch 1659 Cape plantings pre-date California by two centuries. Chenin Blanc, Pinotage (SA hybrid), Cabernet."
south-africa-wine,-22,33,"South Africa (modern borders) — oldest New World producer",#2E7D32,#2E7D3233,""
south-africa-wine,-35,33,"South Africa (modern borders) — oldest New World producer",#2E7D32,#2E7D3233,""
south-africa-wine,-35,16,"South Africa (modern borders) — oldest New World producer",#2E7D32,#2E7D3233,""
