polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent pre-colonial Pacific sovereignties (Tu'i Tonga maritime empire, Samoan matai system, Ni-Vanuatu island councils) or Austronesian voyaging routes that linked these peoples for 3,000+ years."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
vanuatu-origin,-13,166,"Vanuatu (modern borders) — kava's birthplace",#BA7517,#BA751733,"Modern political border (post-1980 independence). ORIGIN of Piper methysticum — Tanna and Efate islands. World's largest producer of noble kava. 'Nakamal' is Ni-Vanuatu in origin, now pan-Pacific."
vanuatu-origin,-13,172,"Vanuatu (modern borders) — kava's birthplace",#BA7517,#BA751733,""
vanuatu-origin,-21,171,"Vanuatu (modern borders) — kava's birthplace",#BA7517,#BA751733,""
vanuatu-origin,-21,166,"Vanuatu (modern borders) — kava's birthplace",#BA7517,#BA751733,""
fiji-modern,-15,176,"Fiji (modern borders) — yaqona ceremony + tanoa bowl",#2E7D32,#2E7D3233,"Modern political border (post-1970 independence). Fijian yaqona ceremony is a distinct cultural tradition; tanoa wooden bowl is a Fijian invention. Second-largest exporter today."
fiji-modern,-15,180,"Fiji (modern borders) — yaqona ceremony + tanoa bowl",#2E7D32,#2E7D3233,""
fiji-modern,-21,180,"Fiji (modern borders) — yaqona ceremony + tanoa bowl",#2E7D32,#2E7D3233,""
fiji-modern,-21,176,"Fiji (modern borders) — yaqona ceremony + tanoa bowl",#2E7D32,#2E7D3233,""
samoa-modern,-13,-173,"Samoa (modern borders) — 'ava + Fa'a Samoa",#2E7D32,#2E7D3233,"Modern political border (post-1962 independence). ''ava ceremony integrates with matai chieftaincy system — removing the ceremony would unmake the political structure. American Samoa is a separate US territory east of here."
samoa-modern,-13,-170,"Samoa (modern borders) — 'ava + Fa'a Samoa",#2E7D32,#2E7D3233,""
samoa-modern,-15,-170,"Samoa (modern borders) — 'ava + Fa'a Samoa",#2E7D32,#2E7D3233,""
samoa-modern,-15,-173,"Samoa (modern borders) — 'ava + Fa'a Samoa",#2E7D32,#2E7D3233,""
tonga-modern,-18,-177,"Tonga (modern borders) — Tu'i Tonga sacred ceremony",#2E7D32,#2E7D3233,"Modern political border (never fully colonised — unique among Pacific nations). Tongan kava ceremony is among the most formally codified. Tu'i Tonga sacred-king ritual is documented by Lebot, Merlin & Lindstrom (1992)."
tonga-modern,-18,-173,"Tonga (modern borders) — Tu'i Tonga sacred ceremony",#2E7D32,#2E7D3233,""
tonga-modern,-24,-173,"Tonga (modern borders) — Tu'i Tonga sacred ceremony",#2E7D32,#2E7D3233,""
tonga-modern,-24,-177,"Tonga (modern borders) — Tu'i Tonga sacred ceremony",#2E7D32,#2E7D3233,""
hawaii-modern,18,-161,"Hawai'i (US modern borders) — 'awa reclamation",#BA7517,#BA751733,"Modern political border (US state since 1959; sovereignty disputes ongoing). Kānaka maoli ('awa cultivation was nearly extinguished by missionary suppression; kava revival movement is part of broader Hawaiian cultural resurgence."
hawaii-modern,23,-161,"Hawai'i (US modern borders) — 'awa reclamation",#BA7517,#BA751733,""
hawaii-modern,23,-154,"Hawai'i (US modern borders) — 'awa reclamation",#BA7517,#BA751733,""
hawaii-modern,18,-154,"Hawai'i (US modern borders) — 'awa reclamation",#BA7517,#BA751733,""
pacific-diaspora-usa,25,-82,"USA (modern borders) — Pacific diaspora + kava bar culture",#2E7D32,#2E7D3233,"Modern political border. Florida has the world's highest density of kava bars outside the Pacific. California, Washington, Utah, and Texas also anchor US diaspora communities."
pacific-diaspora-usa,31,-82,"USA (modern borders) — Pacific diaspora + kava bar culture",#2E7D32,#2E7D3233,""
pacific-diaspora-usa,31,-87,"USA (modern borders) — Pacific diaspora + kava bar culture",#2E7D32,#2E7D3233,""
pacific-diaspora-usa,25,-80,"USA (modern borders) — Pacific diaspora + kava bar culture",#2E7D32,#2E7D3233,""
nz-australia-diaspora,-35,165,"Australia + New Zealand (modern borders) — largest Pacific diaspora",#2E7D32,#2E7D3233,"Modern political borders. Auckland NZ has the largest Pacific Islander urban population in the world. Australia hosts significant Fijian and Samoan communities. Kava ceremony maintained as diaspora cultural practice."
nz-australia-diaspora,-35,180,"Australia + New Zealand (modern borders) — largest Pacific diaspora",#2E7D32,#2E7D3233,""
nz-australia-diaspora,-48,180,"Australia + New Zealand (modern borders) — largest Pacific diaspora",#2E7D32,#2E7D3233,""
nz-australia-diaspora,-48,165,"Australia + New Zealand (modern borders) — largest Pacific diaspora",#2E7D32,#2E7D3233,""
