polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions are MODERN country borders. They do NOT represent colonial territories (Saint-Domingue, British West Indies, Portuguese Brazil), pre-modern Islamic caliphates, or the Atlantic Slave Trade routes."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
png-origin,-1,141,"Papua New Guinea (modern borders) — cane's ancestral origin",#BA7517,#BA751733,"Modern political border (post-1975 independence). ORIGIN of Saccharum officinarum — domesticated here ~10,000 years ago and spread across the Pacific via Austronesian migrations long before reaching India, Persia, or Europe."
png-origin,-1,156,"Papua New Guinea (modern borders) — cane's ancestral origin",#BA7517,#BA751733,""
png-origin,-11,151,"Papua New Guinea (modern borders) — cane's ancestral origin",#BA7517,#BA751733,""
png-origin,-11,141,"Papua New Guinea (modern borders) — cane's ancestral origin",#BA7517,#BA751733,""
brazil-sugar,-2,-50,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,"Modern political border. 39% of world cane sugar — São Paulo and NE plantation belt. Brazil received ~40% of ALL enslaved Africans shipped across the Atlantic (Eltis & Richardson 2010). Abolition was 1888, last country in the Americas."
brazil-sugar,-4,-38,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,-16,-38,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,-25,-48,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,-30,-53,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,-16,-57,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,-8,-70,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,0,-70,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
brazil-sugar,3,-60,"Brazil (modern borders) — largest cane producer today + enslaved-labour history",#2E7D32,#2E7D3233,""
india-sugar,33,75,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,"Modern political border (post-1947). India developed first crystallized sugar ~500 BCE. Today: 20% of world production, Uttar Pradesh + Maharashtra are anchors."
india-sugar,30,80,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,24,92,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,12,78,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,8,77,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,20,73,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,24,68,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
india-sugar,30,74,"India (modern borders) — 20% of world production + original crystallization",#2E7D32,#2E7D3233,""
caribbean-colonial-core,23,-82,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,"Modern political borders. The 'sugar islands' — Cuba, Hispaniola (Haiti + DR), Jamaica, Barbados — formed the core of the Atlantic slave-trade triangle. Haiti (Saint-Domingue) was called 'the richest colony on earth' in 1788 — wealth built entirely on enslaved labour."
caribbean-colonial-core,23,-75,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,""
caribbean-colonial-core,17,-61,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,""
caribbean-colonial-core,10,-61,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,""
caribbean-colonial-core,18,-78,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,""
caribbean-colonial-core,22,-85,"Caribbean (modern borders) — historical 'sugar islands' of the triangle trade",#BA7517,#BA751733,""
